Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Aflaaj Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Layla - TVTC,22.27948,46.73319,7/1/2013 12:00:00 AM,38.4,0.5,22,4,2.7,0.1,1.5,,3772.4,358.5,,4288,474.4,,7236.2,638.7,,17.1,0.1,10.7,3,938.5,4.7
Layla - TVTC,22.27948,46.73319,8/1/2013 12:00:00 AM,37.1,0.5,25,4,2.6,0,1.3,,2823.9,270.2,,5732.3,614.6,,7266.6,657.1,,14.1,0.1,12.8,3,940.6,4.7
Layla - TVTC,22.27948,46.73319,9/1/2013 12:00:00 AM,34.4,0.5,36,4,2.3,0,1.1,,2325.6,192.3,,6242.2,453.6,,6899.4,463.1,,10.7,0.1,14.5,3,945.2,4.7
Layla - TVTC,22.27948,46.73319,10/1/2013 12:00:00 AM,28.3,0.5,56,4,2.1,0,1.1,,1797.5,165.7,,6667.4,472.3,,6116.5,386.5,,11.2,0.1,18,3,950.5,4.8
Layla - TVTC,22.27948,46.73319,11/1/2013 12:00:00 AM,23,0.5,79,4,2.2,0,1.3,,1537.3,157.2,,6035.3,473.6,,4978,359.8,,12,0.1,43.5,3,952.6,4.8
Layla - TVTC,22.27948,46.73319,12/1/2013 12:00:00 AM,17.3,0.5,64,4,2.2,0,1.3,,1332.6,132.5,,6206.2,468,,4639.1,291.6,,11.2,0.1,35.8,3,956.3,4.8
Layla - TVTC,22.27948,46.73319,1/1/2014 12:00:00 AM,16.9,0.5,77,4,2.3,0,1.2,,1618.3,137.6,,5625.1,485.6,,4764.2,312.9,,10.4,0.1,49.1,3,955.6,4.8
Layla - TVTC,22.27948,46.73319,2/1/2014 12:00:00 AM,18.6,0.5,72,4,2.4,0,1.2,,1847,176,,6371.6,515.9,,5814.7,382,,12,0.1,31.8,3,953,4.7
Layla - TVTC,22.27948,46.73319,3/1/2014 12:00:00 AM,24.7,0.5,100,4,2.7,0.1,1.5,,2842,221.4,,5248.2,415,,6582.5,414.4,,18.1,0.1,26.3,3,950.3,4.8
Layla - TVTC,22.27948,46.73319,4/1/2014 12:00:00 AM,30.2,0.5,102,4,2.5,0,1.4,,3326.2,288.8,,5148.9,430.3,,7241.8,460.1,,21.6,0.1,18.2,3,949.4,4.8
Layla - TVTC,22.27948,46.73319,5/1/2014 12:00:00 AM,34.4,0.5,76,4,2.3,0,1.2,,3449,290.1,1025.4,5475.4,466.7,2084.9,7721,475.3,503,15.7,0.1,13.5,3,946.3,4.7
Layla - TVTC,22.27948,46.73319,6/1/2014 12:00:00 AM,36.8,0.5,18,4,2.4,0,1.3,,3685.5,306.2,1005.5,5234.1,472.8,2053.9,7765.4,484,585.2,13.1,0.1,9.9,3,942.9,4.7
Layla - TVTC,22.27948,46.73319,7/1/2014 12:00:00 AM,38.5,0.5,351,4,2.3,0,1.1,,3262,265.4,847.1,5828.4,441.7,1579.2,7823.9,479.8,294.9,11.7,0.1,9.6,3,940.8,4.7
Layla - TVTC,22.27948,46.73319,8/1/2014 12:00:00 AM,38.1,0.5,20,4,2.5,0,1.3,,2580.3,185.3,476.7,6388.3,476,1130.4,7463.4,451.7,351.2,20.8,0.1,12.6,3,941.1,4.7
Layla - TVTC,22.27948,46.73319,9/1/2014 12:00:00 AM,35.1,0.5,42,4,2.4,0,1.2,,2192.8,199.7,675.4,6466.6,499.5,1665.5,6833.3,430.2,543,12.5,0.1,15,3,944.9,4.7
Layla - TVTC,22.27948,46.73319,10/1/2014 12:00:00 AM,29.9,0.5,73,4,2,0,1.1,,1495.6,105.7,228.2,7410.3,491.4,512,6221.2,404.1,290.5,12.3,0.1,23,3,950.8,4.8
Layla - TVTC,22.27948,46.73319,11/1/2014 12:00:00 AM,22.6,0.5,62,4,2.5,0,1.3,,1628.1,142.7,450.2,5940.4,448.8,1490.6,5073.9,320.9,487.8,10.7,0.1,37.7,3,954,4.8
Layla - TVTC,22.27948,46.73319,12/1/2014 12:00:00 AM,18.3,0.5,57,4,1.9,0,1,,1225.2,110.6,429,6761.5,475.1,1547.4,4775.5,299.5,351.7,8.3,0,40.5,3,956.9,4.8
