Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Baha University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Baha - University,20.1794,41.6357,12/1/2014 12:00:00 AM,17.9,0.5,116,4,2,0,1.4,,1144.6,51.3,346.5,7190.4,260.5,1490.3,5064.9,165.5,466.7,12.3,0.1,40.5,3,837.2,4.2
Al Baha - University,20.1794,41.6357,1/1/2015 12:00:00 AM,16.8,0.5,181,4,2.3,0.1,1.6,,1178.8,60.7,609.5,7724.3,243.6,2420.2,5490.2,159.6,750.9,16.3,0.1,32.9,3,836.9,4.2
Al Baha - University,20.1794,41.6357,2/1/2015 12:00:00 AM,20.1,0.5,201,4,2.9,0.1,1.9,,1445.7,67.8,502.5,7737.2,299.9,1250.8,6251.9,216.5,325.7,20.5,0.1,32.4,3,835,4.2
Al Baha - University,20.1794,41.6357,3/1/2015 12:00:00 AM,22.4,0.5,209,4,3.1,0.1,2.1,,2222.8,86.6,702.2,5855.2,199.3,2207.5,6360,176.7,1074.4,17.6,0.1,36.8,3,835.2,4.2
Al Baha - University,20.1794,41.6357,4/1/2015 12:00:00 AM,25,0.5,195,3.7,3,0.1,2,,3329.4,130.4,882.1,4629.4,188.9,2243.8,6916.3,201.4,1066,17.3,0.1,25,3,834.9,4.2
Al Baha - University,20.1794,41.6357,5/1/2015 12:00:00 AM,27.1,0.5,252,4,2.4,0,1.5,,2561.8,86.1,489.2,5532.7,200.5,1632.8,6842.9,202,994.2,24.5,0.1,29.3,3,834.7,4.2
Al Baha - University,20.1794,41.6357,6/1/2015 12:00:00 AM,28.8,0.5,322,4,3.1,0.1,1.9,,2973.7,122.8,1158.6,5732.7,270.8,2706.9,7451.7,243.5,877.7,19.5,0.1,14,3,833.1,4.2
Al Baha - University,20.1794,41.6357,7/1/2015 12:00:00 AM,30.1,0.5,322,4,3,0.1,1.7,,3080.2,103,637.2,4971.2,186.3,1819,7046.8,208.7,853,18.9,0.1,14.6,3,832.3,4.2
Al Baha - University,20.1794,41.6357,8/1/2015 12:00:00 AM,30,0.5,349,4,2.8,0.1,1.6,,2967.3,97,520.1,4177.9,188.3,1790.9,6235.5,192,893.1,24,0.1,20.8,3,832.6,4.2
Al Baha - University,20.1794,41.6357,9/1/2015 12:00:00 AM,28.4,0.5,79,4,2.7,0.1,1.7,,2186.7,73.9,522.6,6042.7,216.6,1663.6,6656.2,196.3,663.3,17.9,0.1,18.9,3,834.6,4.2
Al Baha - University,20.1794,41.6357,10/1/2015 12:00:00 AM,24.5,0.5,112,4,2.7,0.1,1.7,,1651.6,57.1,425.9,6530.3,223.3,1693.3,6014.6,180.3,866.8,17.9,0.1,26.8,3,836.4,4.2
Al Baha - University,20.1794,41.6357,11/1/2015 12:00:00 AM,20.7,0.5,150,4,2.4,0.1,1.5,,1361.3,51.8,414.5,6878.5,223.3,1766.4,5363.1,154.6,602.7,13.9,0.1,45.1,3,835.8,4.2
Al Baha - University,20.1794,41.6357,12/1/2015 12:00:00 AM,16.4,0.5,196,4,2.6,0.1,1.8,,1540,56.7,551.9,4876.3,217.6,2733.7,4223.4,136.3,1211.2,19.5,0.1,55.6,3,837,4.2
Al Baha - University,20.1794,41.6357,1/1/2016 12:00:00 AM,16.1,0.5,201,4,2.7,0.1,1.7,,1461.9,55.5,495.5,6357.2,215.7,1902.4,5070.6,148.2,699.5,16.3,0.1,50.8,3,836.1,4.2
Al Baha - University,20.1794,41.6357,2/1/2016 12:00:00 AM,17.9,0.5,173,4,2.9,0.1,2,,1516.1,63.1,511.3,7105.4,263.1,1938.7,6012.5,192.2,777.3,20.8,0.1,36.7,2.8,836.6,4.2
Al Baha - University,20.1794,41.6357,3/1/2016 12:00:00 AM,22.7,0.5,208,4,3.2,0.1,2,,2261,88.5,765.3,6266.9,274,1966.1,6591.5,201.7,675.7,17.1,0.1,38.6,3,834.8,4.2
Al Baha - University,20.1794,41.6357,4/1/2016 12:00:00 AM,20.2,0.5,202,4,2.6,0.1,1.7,,2167.6,81.4,545.1,5265.6,241.4,2486.6,6059.1,200,1546.1,16.8,0.1,53.2,3,834.5,4.2
Al Baha - University,20.1794,41.6357,5/1/2016 12:00:00 AM,26.9,0.5,221,4,2.5,0.1,1.5,,2831.1,84.7,528.1,4977.2,176.8,1689.5,6705.1,191.8,1011.5,21.6,0.1,27.9,3,834.9,4.2
Al Baha - University,20.1794,41.6357,6/1/2016 12:00:00 AM,30,0.5,314,4,2.7,0.1,1.6,,2903.4,97.3,578,5786.5,199.2,1560.8,7496,212,644.9,19.5,0.1,17.4,3,833.1,4.2
Al Baha - University,20.1794,41.6357,7/1/2016 12:00:00 AM,29.7,0.5,326,4,3.2,0.1,1.7,,2965.5,98.3,471.5,4773.8,180.8,1784.6,6798.5,210.2,994.2,20,0.1,21.7,3,831.3,4.2
