Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Dawadmi College of Technology Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Dawadmi - TVTC,24.5569,44.47411,8/1/2013 12:00:00 AM,34.5,0.5,18,4,2.7,0.1,1.4,,2551.2,207.2,,6574.6,507.3,,7548.4,510.4,,13.6,0.1,11.3,3,901.7,4.5
Al Dawadmi - TVTC,24.5569,44.47411,9/1/2013 12:00:00 AM,31.9,0.5,76,4,2.7,0,1.3,,2372.2,210.9,,6132.9,494.2,,6755.1,482.7,,13.9,0.1,13.4,3,904.8,4.5
Al Dawadmi - TVTC,24.5569,44.47411,10/1/2013 12:00:00 AM,26.2,0.5,147,4,2.8,0,1.2,,1839.8,207.4,,6625.5,648.1,,6059.5,538,,13.3,0.1,16.9,3,907.8,4.5
Al Dawadmi - TVTC,24.5569,44.47411,11/1/2013 12:00:00 AM,20.3,0.5,151,4,2.8,0.1,1.3,,1609.3,283,,5644.5,865.9,,4740.3,619,,17.3,0.1,48,3,908.7,4.5
Al Dawadmi - TVTC,24.5569,44.47411,12/1/2013 12:00:00 AM,14.7,0.5,144,4,3,0.1,1.2,,1499.8,150.8,,5386.4,689.9,,4234.7,420.9,,15.5,0.1,42.4,3,911.2,4.6
Al Dawadmi - TVTC,24.5569,44.47411,1/1/2014 12:00:00 AM,14,0.5,147,4,2.9,0,1.2,,1498,137.3,,5401.9,535.1,,4372.5,312.1,,16,0.1,55.4,3,910.4,4.6
Al Dawadmi - TVTC,24.5569,44.47411,2/1/2014 12:00:00 AM,16,0.5,272,4,2.9,0.1,1.5,,1691.4,167.9,,6786.1,560.6,,5732.5,375.4,,15.7,0.1,35.7,3,908.3,4.6
Al Dawadmi - TVTC,24.5569,44.47411,3/1/2014 12:00:00 AM,21.6,0.5,206,4,3.3,0.1,1.6,,2610.5,210,,5289.7,485.5,,6282.6,426.4,,22.1,0.1,31.5,3,906.5,4.5
Al Dawadmi - TVTC,24.5569,44.47411,4/1/2014 12:00:00 AM,27.5,0.5,147,4,3.3,0.1,1.7,,3617.8,295.5,,3816.9,400.6,,6568.8,456.5,,22.4,0.1,20.7,3,906.5,4.6
Al Dawadmi - TVTC,24.5569,44.47411,5/1/2014 12:00:00 AM,30.8,0.5,308,4,3.2,0.1,1.5,,3497,259.4,666.5,5143.6,429.7,1796.9,7530.2,474.1,802.5,17.3,0.1,15.7,3,904.7,4.5
Al Dawadmi - TVTC,24.5569,44.47411,6/1/2014 12:00:00 AM,33.2,0.5,353,4,3.1,0.1,1.4,,2918.6,250.4,821.2,7022.4,532.1,1671.1,8319.7,499.2,397.9,20.8,0.1,10,3,902.5,4.5
Al Dawadmi - TVTC,24.5569,44.47411,7/1/2014 12:00:00 AM,34.3,0.5,315,4,3.1,0.1,1.7,,2496.7,200.3,865.6,7606.2,581.9,1607.3,8242.7,576.7,297.6,14.4,0.1,10.3,3,900.8,4.5
Al Dawadmi - TVTC,24.5569,44.47411,8/1/2014 12:00:00 AM,34.8,0.5,13,4,2.8,0.1,1.5,,2254,180.5,651.8,7285.8,595,1715.5,7670.6,517.1,607.2,14.7,0.1,11.4,3,901.3,4.5
Al Dawadmi - TVTC,24.5569,44.47411,9/1/2014 12:00:00 AM,32.5,0.5,73,4,2.8,0,1.3,,2414.7,207.3,796.7,6015.6,479.3,2055.4,6695.5,423.9,588.2,14.1,0.1,12.9,3,904,4.5
Al Dawadmi - TVTC,24.5569,44.47411,10/1/2014 12:00:00 AM,28,0.5,167,4,2.7,0,1.1,,1656.7,142.7,337.4,6971.1,492.7,945.6,6065.7,414.8,384.7,13.3,0.1,18.8,3,908,4.5
Al Dawadmi - TVTC,24.5569,44.47411,11/1/2014 12:00:00 AM,18.9,0.5,137,4,3,0.1,1.4,,1665.3,161.7,645.2,5341.8,472.1,2428.9,4654.7,326,1125.6,18.4,0.1,40,3,910.1,4.6
Al Dawadmi - TVTC,24.5569,44.47411,12/1/2014 12:00:00 AM,16.5,0.5,146,4,2.5,0,1.3,,1378.8,142.2,560.9,5742.8,491.4,2248.7,4315.4,284.7,657.7,11.5,0.1,49.2,3,912.1,4.6
Al Dawadmi - TVTC,24.5569,44.47411,1/1/2015 12:00:00 AM,14.6,0.5,198,4,2.7,0.1,1.3,,1364.1,153.7,726.7,6886.2,560.2,2499.6,4958.4,326.3,548.6,13.1,0.1,32.2,3,911.2,4.6
Al Dawadmi - TVTC,24.5569,44.47411,2/1/2015 12:00:00 AM,19,0.5,238,4,3.2,0.1,1.7,,1908.1,185.5,722.4,6065.9,551,2084,5618.2,387.3,614.5,15.2,0.1,27.2,3,907.9,4.6
Al Dawadmi - TVTC,24.5569,44.47411,3/1/2015 12:00:00 AM,21.8,0.5,112,4,3.1,0.1,1.5,,2876.3,235.1,726.6,4239.6,405.2,2013.3,5889.5,389.6,1092.6,18.7,0.1,37.5,3,907.8,4.6
Al Dawadmi - TVTC,24.5569,44.47411,4/1/2015 12:00:00 AM,26.1,0.5,147,4,3.8,0.1,1.8,,4082.3,292.5,677.2,3135.8,349.2,1827,6563.2,441.7,1319.5,18.4,0.1,17.8,3,906.9,4.6
Al Dawadmi - TVTC,24.5569,44.47411,5/1/2015 12:00:00 AM,32.1,0.5,252,4,3.4,0.1,1.8,,3702.2,253.4,714.8,4390.7,432.4,2008,7160.5,466.5,1003.3,18.9,0.1,16.3,3,904.8,4.5
