Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Hanakiyah Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Hanakiyah - TVTC,24.85577,40.536,9/1/2013 12:00:00 AM,34.3,0.5,2,4,3.2,0.1,1.6,,2109.7,184,,6553.2,509.5,,6794.8,427,,13.3,0.1,13.4,3,913.1,4.6
Al Hanakiyah - TVTC,24.85577,40.536,10/1/2013 12:00:00 AM,28.5,0.5,73,4,2.3,0.1,1.8,,1730.9,156.5,,6377,509.3,,5787.1,413,,14.7,0.1,19,3,915.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,11/1/2013 12:00:00 AM,22.5,0.5,114,4,2.7,0.1,1.9,,1327.8,140.5,,6372.9,503.2,,4800.2,306.7,,14.9,0.1,36.5,3,916.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,12/1/2013 12:00:00 AM,16.7,0.5,78,4,3.4,0.1,1.9,,1203.3,146.8,,6447.6,561.7,,4415.1,333.6,,14.1,0.1,34.5,3,919.6,4.6
Al Hanakiyah - TVTC,24.85577,40.536,1/1/2014 12:00:00 AM,17.2,0.5,78,4,3.1,0.1,1.6,,1383.2,125.2,,5570.6,495.8,,4282.2,297.5,,15.5,0.1,43.5,3,918.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,2/1/2014 12:00:00 AM,18.7,0.5,44,4,3.4,0.1,1.8,,1339.9,118.2,,7548.7,537.9,,5766.1,362.1,,18.1,0.1,29.1,3,917.1,4.6
Al Hanakiyah - TVTC,24.85577,40.536,3/1/2014 12:00:00 AM,23.3,0.5,264,4,3.9,0.1,1.9,,2468.8,227.1,,5271.3,583.1,,6053.7,459.9,,18.1,0.1,28.2,3,915.3,4.6
Al Hanakiyah - TVTC,24.85577,40.536,4/1/2014 12:00:00 AM,28.9,0.5,145,4,3.5,0.1,2.1,,3014.3,279.7,,4472.3,550.9,,6398.2,511.6,,23.2,0.1,23.2,3,915.3,4.6
Al Hanakiyah - TVTC,24.85577,40.536,5/1/2014 12:00:00 AM,31.6,0.5,171,4,3.7,0.1,1.9,,3011.2,277.1,932.2,5435,586.2,2508.4,7198,607.6,1230,17.1,0.1,16.1,3,913.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,6/1/2014 12:00:00 AM,35.3,0.5,326,4,3.3,0.1,1.5,,2551.5,287.6,696.2,7215.6,830.1,1578.3,8040.5,850.1,390.3,13.9,0.1,9.7,3,911.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,7/1/2014 12:00:00 AM,35.3,0.5,278,4,3.7,0.1,1.7,,1999.3,204.9,735.7,8192.3,577.3,1512.2,8068.3,490.8,324.3,20.8,0.1,12.6,3,910.6,4.6
Al Hanakiyah - TVTC,24.85577,40.536,8/1/2014 12:00:00 AM,36.9,0.5,311,4,3.3,0.1,1.5,,2275.5,189.8,753,6668.5,544.2,2203.5,7245.2,463.8,803.9,24.5,0.1,12.1,3,910.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,9/1/2014 12:00:00 AM,34.8,0.5,288,4,3,0.1,1.5,,2148.7,177.9,530.6,6039.6,448,1678.4,6451.2,410.2,606.5,16.5,0.1,12.1,3,912.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,10/1/2014 12:00:00 AM,29.5,0.5,192,4,3,0.1,1.8,,1722.5,139.4,462.5,6334.8,463.4,1235.5,5757.6,362.1,356.7,19.5,0.1,18.2,3,916.2,4.6
Al Hanakiyah - TVTC,24.85577,40.536,11/1/2014 12:00:00 AM,21.2,0.5,89,4,3.4,0.1,1.9,,1239.9,112.3,397.1,6355.4,489.6,2082.1,4722.8,318,847.9,17.3,0.1,32.6,3,918.6,4.6
Al Hanakiyah - TVTC,24.85577,40.536,12/1/2014 12:00:00 AM,19.7,0.5,93,4,3.3,0.1,1.7,,1285.5,110.1,438.5,5795.4,454.6,1727.8,4259.8,268.7,393.9,12.8,0.1,42.3,3,920.3,4.6
Al Hanakiyah - TVTC,24.85577,40.536,1/1/2015 12:00:00 AM,16.9,0.5,150,4,2.6,0.1,1.7,,1143.1,145.9,578.6,7218.2,535,2039.2,4854.2,309.1,484,13.1,0.1,27.6,3,920.1,4.6
Al Hanakiyah - TVTC,24.85577,40.536,2/1/2015 12:00:00 AM,20.7,0.5,253,4,3.4,0.1,2.1,,1710.9,143.1,566,6494.1,513.1,1583.7,5612.5,361.9,484.3,16.8,0.1,26.8,3,916.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,3/1/2015 12:00:00 AM,24.9,0.5,125,4,3.6,0.1,2,,2594,215.4,870.5,5110.7,511.9,2555.2,6100.5,417.5,947,17.6,0.1,24.7,3,916.2,4.6
Al Hanakiyah - TVTC,24.85577,40.536,4/1/2015 12:00:00 AM,27.4,0.5,231,4,4.1,0.1,2.3,,3563.6,311.2,1195.5,4437,551.8,2649.2,6901.8,489.1,728.2,17.1,0.1,17.6,3,915.6,4.6
Al Hanakiyah - TVTC,24.85577,40.536,5/1/2015 12:00:00 AM,33.1,0.5,269,4,3.6,0.1,2.1,,3379.6,235.1,746.6,4830.2,475.3,2067.2,7094,467.4,950.7,17.1,0.1,14.8,3,913.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,6/1/2015 12:00:00 AM,35.4,0.5,290,3.7,3.6,0.1,1.7,,3096.9,279,1263.1,6255,639.2,2654.7,7911.2,499.2,565.6,18.7,0.1,10.5,2.9,911.6,4.5
Al Hanakiyah - TVTC,24.85577,40.536,7/1/2015 12:00:00 AM,36,0.5,272,4,3.5,0.1,1.5,,2389.6,209.1,900.1,7358.6,570.9,2087.3,7938.5,483,541,17.9,0.1,10.7,3,910.5,4.6
Al Hanakiyah - TVTC,24.85577,40.536,8/1/2015 12:00:00 AM,38.1,0.5,22,4,3.6,0.1,1.9,,2878.4,220.6,781.3,5406,491.8,1975.4,7014.6,454.8,639.1,26.9,0.1,10.9,3,911.6,4.6
Al Hanakiyah - TVTC,24.85577,40.536,9/1/2015 12:00:00 AM,35.8,0.5,75,4,3,0.1,1.6,,2687.4,198.3,424.2,4954,374.6,1015.2,6362.4,399.7,398.5,19.2,0.1,13.5,3,913.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,10/1/2015 12:00:00 AM,30.5,0.5,162,4,3,0.1,2,,2116.8,150.8,503.9,5017.8,460.4,1717.8,5407.2,372.8,714.9,17.3,0.1,22.4,3,916.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,11/1/2015 12:00:00 AM,23.1,0.5,102,4,3.8,0.1,2,,1580,141.4,559.6,5287.6,452.2,2240.4,4512.7,300.8,899.3,16,0.1,42.4,3,917.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,12/1/2015 12:00:00 AM,16.3,0.5,66,4,3.5,0.1,1.7,,1502.1,126.7,530.4,5050.6,478.8,2360,4035.4,274.9,757.5,12.8,0.1,48.2,3,920.8,4.6
Al Hanakiyah - TVTC,24.85577,40.536,1/1/2016 12:00:00 AM,17.1,0.5,82,4,3.4,0.1,1.8,,1584.9,145.7,642.5,5749.9,518.6,2178.8,4631.2,313.1,500.5,14.4,0.1,40.8,3,919.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,2/1/2016 12:00:00 AM,19.7,0.5,87,4,3.7,0.1,2,,1567.4,161,729.9,6917.3,534.2,2295.3,5625,366,646.3,21.1,0.1,28.2,3,919.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,3/1/2016 12:00:00 AM,25.1,0.5,158,4,3.7,0.1,2,,2762.9,235.7,874,4390,503.5,2730.1,5820.5,412.2,1261.7,18.4,0.1,25.6,3,916,4.6
Al Hanakiyah - TVTC,24.85577,40.536,4/1/2016 12:00:00 AM,26.2,0.5,147,4,3.3,0.1,1.9,,2203.2,206.5,692,6735.2,621.6,2406.4,7143.3,479.5,1012.4,18.9,0.1,30.2,3,915.4,4.6
Al Hanakiyah - TVTC,24.85577,40.536,5/1/2016 12:00:00 AM,32.9,0.5,267,4,3.3,0.1,1.8,,2405.8,183.8,670.3,7357.5,558.2,1869.2,7936.4,497.4,799.2,18.4,0.1,14.5,3,914.2,4.6
