Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Qunfudhah Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Qunfudhah - TVTC,19.15197,41.08111,9/1/2013 12:00:00 AM,32.1,0.5,269,4,2.8,0.1,1.7,,3088,222.8,,3844.2,309.8,,6121.2,437.9,,16.3,0.1,72.9,3,1004.2,5
Al Qunfudhah - TVTC,19.15197,41.08111,10/1/2013 12:00:00 AM,30.4,0.5,225,4,2.6,0.1,1.7,,2341.2,170.9,,4779.2,350.1,,5652.2,363.7,,11.5,0.1,71.8,3,1008.2,5
Al Qunfudhah - TVTC,19.15197,41.08111,11/1/2013 12:00:00 AM,29.2,0.5,277,4,2.3,0,1.3,,1791.5,138.1,,4798.6,386.6,,4715.3,307,,14.1,0.1,71.6,3,1009.2,5
Al Qunfudhah - TVTC,19.15197,41.08111,12/1/2013 12:00:00 AM,26.7,0.5,271,4,2.5,0,1.3,,1744.6,130.8,,4412.9,381.6,,4270,284.5,,11.5,0.1,71.5,3,1012.4,5.1
Al Qunfudhah - TVTC,19.15197,41.08111,1/1/2014 12:00:00 AM,26.4,0.5,275,4,2.3,0,1.3,,2191.6,152,,3663.6,331.4,,4406.2,282.1,,12,0.1,75.7,3,1012,5.1
Al Qunfudhah - TVTC,19.15197,41.08111,2/1/2014 12:00:00 AM,26.4,0.5,216,4,2.4,0.1,1.6,,2144.6,169.2,,4882.8,353.3,,5400.8,335.4,,11.7,0.1,72.3,3,1010.1,5.1
Al Qunfudhah - TVTC,19.15197,41.08111,3/1/2014 12:00:00 AM,27.4,0.5,253,4,2.7,0.1,1.8,,2373.9,186.5,,5337,411.1,,6233.4,403.6,,13.6,0.1,70.9,3,1009.1,5.1
Al Qunfudhah - TVTC,19.15197,41.08111,4/1/2014 12:00:00 AM,30.3,0.5,262,4,2.5,0.1,1.6,,2792.3,214.9,,5047.4,416.9,,6705.8,414.8,,12.8,0.1,65.1,3,1007.5,5
Al Qunfudhah - TVTC,19.15197,41.08111,5/1/2014 12:00:00 AM,31.1,0.5,258,3.7,2.9,0.1,1.8,,2727.1,216.7,528,5333.4,395.9,1537.5,6910,430,831.6,12.8,0.1,68.7,3,1005.8,5
Al Qunfudhah - TVTC,19.15197,41.08111,6/1/2014 12:00:00 AM,32.2,0.5,228,4,3.1,0.1,2.4,,3508.1,263.4,600.5,4049.9,336.8,1206,6807.2,420,339.4,15.5,0.1,69.6,3,1002.7,5
