Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Uyaynah Research Station Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - Al Uyaynah,24.90689,46.39721,2/1/2013 12:00:00 AM,17.7,0.5,93,4,3.2,0.1,1.6,,1849.3,177.1,,6418.4,550.4,,5692.5,369.2,,15.7,0.1,28,3,930,4.7
Riyadh - Al Uyaynah,24.90689,46.39721,3/1/2013 12:00:00 AM,21.9,0.5,114,4,3.4,0.1,1.9,,2830.1,235.6,,4831.8,486.7,,6217,409.3,,18.4,0.1,26.7,3,927.4,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,4/1/2013 12:00:00 AM,25.5,0.5,71,4,3.7,0.1,2.2,,3244.3,253.8,,4118.8,396.9,,6396.6,461.3,,21.1,0.1,32,3,924,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,5/1/2013 12:00:00 AM,30,0.5,359,4,3.1,0.1,1.7,,3860.3,286.7,,4205.6,393.2,,7260.3,467.3,,25.3,0.1,25.4,3,923.4,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,6/1/2013 12:00:00 AM,33.8,0.5,343,4,4,0.1,2.2,,3088.9,281.9,,6162.7,453.6,,7946.5,552.7,,17.6,0.1,10.9,3,919.4,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,7/1/2013 12:00:00 AM,36.1,0.5,350,4,3.7,0.1,2.2,,2879,242.6,,6225.3,518.1,,7698.5,529.6,,17.1,0.1,10.8,3,916.9,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,8/1/2013 12:00:00 AM,35.3,0.5,2,4,3.1,0.1,1.8,,2407.2,235.3,,6546.2,554.6,,7360.1,573.9,,14.9,0.1,11.6,3,918.7,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,9/1/2013 12:00:00 AM,32.3,0.5,11,4,2.6,0.1,1.4,,2236.9,232,,6256.4,868.7,,6667.9,721,,12.8,0.1,14.5,3,922.9,4.6
Riyadh - Al Uyaynah,24.90689,46.39721,10/1/2013 12:00:00 AM,26.2,0.5,77,4,2.7,0.1,1.6,,1768.4,300.5,,6454.3,901.2,,5856.2,739.3,,13.6,0.1,18.5,3,927.3,4.7
Riyadh - Al Uyaynah,24.90689,46.39721,11/1/2013 12:00:00 AM,20.3,0.5,129,4,3.1,0.1,1.6,,1460.7,258.6,,5200.3,693.1,,4315.6,552.5,,13.6,0.1,52.4,3,928.9,4.7
