Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Wajh Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Wajh - TVTC,26.2561,36.443,10/1/2013 12:00:00 AM,26.5,0.5,316,4,2.9,0.1,1.4,,1190.4,122.7,,7579.9,645.9,,5774.6,428.9,,10.4,0.1,61.3,3,1007.1,5
Al Wajh - TVTC,26.2561,36.443,11/1/2013 12:00:00 AM,25.1,0.5,332,4,2.4,0,1.1,,1185.1,114.6,,6251.1,450.5,,4514.3,293,,9.9,0.1,51.2,3,1008.6,5
Al Wajh - TVTC,26.2561,36.443,12/1/2013 12:00:00 AM,20.8,0.5,330,4,3,0.1,1.4,,1293.5,118.1,,4945.3,447.4,,3724.1,254.1,,15.2,0.1,45.3,3,1013.1,5.1
Al Wajh - TVTC,26.2561,36.443,1/1/2014 12:00:00 AM,20.3,0.5,344,4,2.6,0,1.1,,1194.7,129.6,,6214.4,490.1,,4356.1,293.1,,12.3,0.1,49.1,3,1012.2,5.1
Al Wajh - TVTC,26.2561,36.443,2/1/2014 12:00:00 AM,21.2,0.5,320,4,3.2,0.1,1.5,,1236.4,153,,7340.9,536.4,,5422.9,348.5,,14.1,0.1,46.5,3,1010.6,5.1
Al Wajh - TVTC,26.2561,36.443,3/1/2014 12:00:00 AM,23.3,0.5,,,,,,,2035,152.2,,5882.9,518.5,,5989.7,408.9,,,,52.6,3,1008.1,5
Al Wajh - TVTC,26.2561,36.443,4/1/2014 12:00:00 AM,26.2,0.5,,,,,,,2587.1,242,,5723.3,548.5,,6744.5,491,,,,56,3,1006.4,5
Al Wajh - TVTC,26.2561,36.443,5/1/2014 12:00:00 AM,27.9,0.5,,,,,,,2169.6,212.9,924.6,7350.9,580.7,2447.7,7576.3,479.9,783.6,,,54.5,3,1005,5
Al Wajh - TVTC,26.2561,36.443,6/1/2014 12:00:00 AM,29.1,0.5,,,,,,,2014.4,207.1,798.8,8169.7,587.4,1658.5,8022.4,498.4,243,,,60.7,3,1002.6,5
Al Wajh - TVTC,26.2561,36.443,7/1/2014 12:00:00 AM,30.2,0.5,,,,,,,1608.5,117.3,390.9,8467,554.2,846.9,7784.1,479.1,198.4,,,68.2,3,1001.5,5
Al Wajh - TVTC,26.2561,36.443,8/1/2014 12:00:00 AM,30.9,0.5,,,,,,,1768.8,153.5,593.8,7541,528.1,1522,7232.2,458.9,391.5,,,66.7,3,1000.9,5
Al Wajh - TVTC,26.2561,36.443,9/1/2014 12:00:00 AM,28.7,0.5,,,,,,,1401,122.4,360.7,7809,539.6,819.5,6676.1,420.2,223.3,,,70.2,3,1004,5
Al Wajh - TVTC,26.2561,36.443,10/1/2014 12:00:00 AM,26.8,0.5,,,,,,,1391.8,150.5,670.1,6479.7,492.1,2250.5,5315.7,341.7,863.9,,,61.7,3,1007.9,5
Al Wajh - TVTC,26.2561,36.443,11/1/2014 12:00:00 AM,24.7,0.5,332,3.7,2.7,0,1.3,,1137.8,43,314.9,6806.6,223.9,1360.7,4723.6,154.8,493.9,13.6,0.1,45.8,3,1011.9,5
Al Wajh - TVTC,26.2561,36.443,12/1/2014 12:00:00 AM,23.4,0.5,348,3.7,2.5,0,1.2,,1206.4,44.6,362,5750,193.9,1749.3,4039,113.9,524.5,21,0.1,49.7,3,1013.5,5
Al Wajh - TVTC,26.2561,36.443,1/1/2015 12:00:00 AM,19.8,0.5,340,4,2.8,0.1,1.4,,1231.8,50.7,488.9,6367.9,226.4,1991.3,4503.9,130.8,530.5,18.4,0.1,44.5,3,1015.9,5.1
Al Wajh - TVTC,26.2561,36.443,2/1/2015 12:00:00 AM,21.2,0.5,320,4,3,0.1,1.8,,2000.5,69.5,616.6,5011.7,209,2047.2,4967.4,144.3,721.6,16.3,0.1,50.5,3,1011.8,5.1
Al Wajh - TVTC,26.2561,36.443,3/1/2015 12:00:00 AM,23.6,0.5,314,4,3.1,0.1,1.9,,2065,78.8,690.6,6066.6,204.5,2346.2,6134.6,170.3,1029,13.1,0.1,52.8,3,1010.1,5.1
Al Wajh - TVTC,26.2561,36.443,4/1/2015 12:00:00 AM,24,0.5,308,4,3.4,0.1,2.2,,2325,338.2,942.8,7173.9,977.3,2076.7,7495.8,5981.6,450.1,13.9,0.1,52.4,3,1010,5.1
Al Wajh - TVTC,26.2561,36.443,5/1/2015 12:00:00 AM,28,0.5,310,4,3,0.1,1.9,,2562.7,459.9,900.2,6409,1242.2,2847.1,7328.7,7328.7,1441.4,13.6,0.1,53.9,3,1006.4,5.1
Al Wajh - TVTC,26.2561,36.443,6/1/2015 12:00:00 AM,28,0.5,303,4,3.4,0.1,1.9,,2127.2,129.5,859.3,8151.6,521.5,1811,8138.6,8138.6,308.5,13.1,0.1,64,3,1004.9,5
Al Wajh - TVTC,26.2561,36.443,7/1/2015 12:00:00 AM,29.7,0.5,,,,,,,1677.3,154,619.4,8488.8,558.8,1359.1,7861,464.6,242.7,,,68.6,3,1001.6,5
