Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Arar Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Arar - TVTC,31.028,40.9056,12/1/2014 12:00:00 AM,12.8,0.5,22,4,2.6,0.1,1.8,,1246.2,51.2,387.7,4856.2,184.9,2129.7,3411.4,104,639,16.5,0.1,57.2,3,953.1,4.8
Arar - TVTC,31.028,40.9056,1/1/2015 12:00:00 AM,9.9,0.5,292,4,3.4,0.1,2.4,,1442.1,59.2,614.2,4753.5,211.8,2745.3,3648.6,117,771.1,17.9,0.1,47.2,3,952.1,4.8
Arar - TVTC,31.028,40.9056,2/1/2015 12:00:00 AM,12.4,0.5,315,4,3.5,0.1,2.4,,1806.4,79,805.3,5177.4,256.2,2827,4610.3,162.1,871,20.2,0.1,36.5,3,948.3,4.8
Arar - TVTC,31.028,40.9056,3/1/2015 12:00:00 AM,16.7,0.5,19,4,4,0.1,2.4,,1877.6,82.8,945.5,6441.9,435.6,2760.7,5974.9,298.9,929.1,20.8,0.1,30.9,3,949.3,4.8
Arar - TVTC,31.028,40.9056,4/1/2015 12:00:00 AM,21.2,0.5,327,4,4.1,0.1,2.8,,2667,108.2,963.8,6490.2,247.9,2234.3,7263,219,791.7,20.5,0.1,23.3,3,947.4,4.8
Arar - TVTC,31.028,40.9056,5/1/2015 12:00:00 AM,28.7,0.5,336,3.7,4.2,0.1,2.4,,2858.1,111.8,1128.8,6655.9,245.8,2673.7,7766.8,222.7,773,22.1,0.1,15.9,3,944.2,4.7
Arar - TVTC,31.028,40.9056,6/1/2015 12:00:00 AM,31.4,0.5,309,4,4.3,0.1,2.2,,2141.1,96.7,876,8595.3,285.4,2262.8,8424.8,239.5,839.4,23.2,0.1,15.6,3,942,4.7
Arar - TVTC,31.028,40.9056,7/1/2015 12:00:00 AM,35.2,0.5,319,4,3.8,0.1,2,,1985.2,65.4,472.9,8746.2,260.8,1071.9,8370.1,233.3,258.3,17.1,0.1,11.3,3,939.8,4.7
Arar - TVTC,31.028,40.9056,8/1/2015 12:00:00 AM,35.8,0.5,328,4,3.5,0.1,1.9,,2319.1,117.9,1022.8,7129.9,259.1,2434,7435.1,217.2,619.5,16.8,0.1,12.9,3,941.9,4.7
Arar - TVTC,31.028,40.9056,9/1/2015 12:00:00 AM,33,0.5,354,4,2.9,0.1,1.7,,2631,149.7,1061.3,5337.3,213.8,2256.6,6269.1,191.3,513.1,19.2,0.1,14,3,944.3,4.7
