Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Duba Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Duba - TVTC,27.34103,35.72295,8/1/2013 12:00:00 AM,31.7,0.5,263,4,2.1,0,1.2,,1450.2,117.8,,8478.8,561.9,,7454.3,468.4,,11.2,0.1,56.1,3,1001.3,5
Duba - TVTC,27.34103,35.72295,9/1/2013 12:00:00 AM,31.2,0.5,293,4,2.5,0.1,1.4,,1500.8,227.2,,7584.2,1056.5,,6605.2,745.2,,15.2,0.1,50.6,3,1004.2,5
Duba - TVTC,27.34103,35.72295,10/1/2013 12:00:00 AM,27.6,0.5,300,4,2.2,0,1.2,,1076.9,189.7,,7772.4,1076,,5662.9,719.9,,11.2,0.1,49.1,3,1007.8,5
Duba - TVTC,27.34103,35.72295,11/1/2013 12:00:00 AM,25.8,0.5,319,4,2.1,0,1.1,,1192.5,216.3,,6161.1,776.9,,4447.3,562.9,,10.9,0.1,43,3,1009.3,5
Duba - TVTC,27.34103,35.72295,12/1/2013 12:00:00 AM,21.1,0.5,334,4,2.6,0.1,1.5,,1204.7,124.8,,5047.5,727.4,,3611,411.2,,12.3,0.1,39.2,3,1013.8,5.1
Duba - TVTC,27.34103,35.72295,1/1/2014 12:00:00 AM,21,0.5,336,4,2.3,0,1.2,,1040.9,108,,6519.4,483.2,,4288.5,278,,12,0.1,42.2,3,1012.9,5.1
Duba - TVTC,27.34103,35.72295,2/1/2014 12:00:00 AM,22.1,0.5,316,4,2.7,0.1,1.5,,1107.5,126.7,,7638.9,531.2,,5385.1,345,,13.6,0.1,38.5,3,1011.3,5.1
Duba - TVTC,27.34103,35.72295,3/1/2014 12:00:00 AM,24.3,0.5,293,4,2.5,0.1,1.5,,1930.4,171.9,,5880.6,496.1,,5843.8,394.4,,14.7,0.1,42.6,3,1008.7,5.1
Duba - TVTC,27.34103,35.72295,4/1/2014 12:00:00 AM,27.9,0.5,289,4,2.3,0.1,1.5,,2452.8,217.8,,6172.5,502.3,,6903,444.6,,14.4,0.1,41.1,3,1007.1,5
Duba - TVTC,27.34103,35.72295,5/1/2014 12:00:00 AM,31,0.5,301,4,2.9,0.1,1.6,,2113.6,213.7,874.9,7403.2,599.9,2495.3,7544.3,496.8,1011.1,14.9,0.1,33.6,3,1005.7,5
Duba - TVTC,27.34103,35.72295,6/1/2014 12:00:00 AM,32.2,0.5,295,4,2.8,0.1,1.7,,1917.2,233.1,925.5,8402.7,605.4,1886.5,8067.5,498.5,289.6,13.1,0.1,41.2,3,1003.4,5
Duba - TVTC,27.34103,35.72295,7/1/2014 12:00:00 AM,32.4,0.5,260,3.7,2.4,0,1.3,,1503.5,114.1,356.4,8770.2,548.3,745,7855.8,468.6,188.3,11.5,0.1,52.8,3,1002,5
Duba - TVTC,27.34103,35.72295,8/1/2014 12:00:00 AM,32.6,0.5,269,4,2.2,0,1.3,,1534.7,147.9,532.6,8106.7,551.9,1397.1,7309.7,458.1,409.3,12,0.1,52.4,3,1001.6,5
Duba - TVTC,27.34103,35.72295,9/1/2014 12:00:00 AM,31.4,0.5,297,4,2.6,0.1,1.6,,1224,101,317.8,8212.4,534.6,799.2,6679.7,409.9,276.5,13.3,0.1,52.1,3,1004.5,5
Duba - TVTC,27.34103,35.72295,10/1/2014 12:00:00 AM,28.2,0.5,298,4,2.3,0,1.3,,1291.5,148.6,676.2,6826.2,500.7,2244.3,5312.9,355.6,754.4,10.9,0.1,49,3,1008.6,5.1
Duba - TVTC,27.34103,35.72295,11/1/2014 12:00:00 AM,25.1,0.5,327,4,2.5,0.1,1.4,,998.1,87.8,262.7,6965.2,477.4,762.9,4613.4,293.6,246.5,11.2,0.1,40.8,3,1011.3,5.1
Duba - TVTC,27.34103,35.72295,12/1/2014 12:00:00 AM,23.7,0.5,333,4,2.3,0,1.3,,1074,99.7,330.9,6092.8,451.6,1435.7,4014.6,252,292.7,10.9,0.1,43.5,3,1013.1,5.1
Duba - TVTC,27.34103,35.72295,1/1/2015 12:00:00 AM,19.5,0.5,313,4,2.3,0.1,1.4,,1210.2,130.1,564.7,6188.2,506.9,2180.1,4278.5,284,520.9,14.1,0.1,43.1,3,1015.4,5.1
Duba - TVTC,27.34103,35.72295,2/1/2015 12:00:00 AM,21,0.5,290,4,2.4,0.1,1.5,,1734.7,177.7,655.5,5323.6,513,2388.4,4833.8,350,953.1,14.1,0.1,46.3,3,1011.1,5.1
Duba - TVTC,27.34103,35.72295,3/1/2015 12:00:00 AM,24.8,0.5,298,4,2.7,0.1,1.6,,1967,172.2,701.2,6072.6,510.9,2719.7,5973.3,395.9,1239.9,12.5,0.1,41.8,3,1009.4,5.1
Duba - TVTC,27.34103,35.72295,4/1/2015 12:00:00 AM,25.5,0.5,294,4,2.9,0.1,1.8,,2193.3,213.3,862.4,7355.4,558.8,1833.5,7474.3,451.3,421.4,13.9,0.1,39.4,3,1009.4,5.1
Duba - TVTC,27.34103,35.72295,5/1/2015 12:00:00 AM,29.9,0.5,289,4,2.5,0.1,1.7,,2476.8,228.6,971.3,6998.4,533.6,2272.8,7616.4,462.4,789.8,12.8,0.1,41,3,1005.7,5
Duba - TVTC,27.34103,35.72295,6/1/2015 12:00:00 AM,30.6,0.5,278,4,2.6,0.1,1.5,,2004.7,225.9,946.1,8290.3,576.7,1885.1,8090.9,477.3,268.2,11.7,0.1,49.2,3,1004.1,5
Duba - TVTC,27.34103,35.72295,7/1/2015 12:00:00 AM,31.6,0.5,251,4,2.1,0,1.1,,1594.6,129,537.4,8621.1,559.2,1216.3,7865,463,234.5,9.6,0.1,56.3,3,1002.1,5
Duba - TVTC,27.34103,35.72295,8/1/2015 12:00:00 AM,34.9,0.5,290,3.7,2.6,0.1,1.6,,2342.8,207.8,666.6,6288.5,456.2,1537.9,7038.2,423.6,386.3,13.3,0.1,49.5,3,1001.8,5
Duba - TVTC,27.34103,35.72295,9/1/2015 12:00:00 AM,32.8,0.5,291,4,2.4,0.1,1.4,,1846.7,170.6,645,6632.6,528.5,1709,6401.4,415.6,482.7,13.3,0.1,48.8,3,1004.6,5
