Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Hafar Al Batin Technical College Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Hafar Al Batin - TVTC,28.33202,45.95708,10/1/2013 12:00:00 AM,24.9,0.5,18,4,5.2,0.1,2.2,,1727.4,210.6,,6122,550.8,,5394.3,417.3,,17.6,0.1,21.6,3,969.5,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,11/1/2013 12:00:00 AM,20,0.5,109,4,4.4,0.1,1.9,,1723.8,159.4,,3798.2,457.2,,3678.5,309.8,,23.2,0.1,59,3,970.9,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,12/1/2013 12:00:00 AM,13,0.5,9,4,4.3,0.1,2.1,,1375.2,125.8,,5261.7,456.2,,3875.4,245.2,,17.6,0.1,49.1,3,974.9,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,1/1/2014 12:00:00 AM,12.3,0.5,316,4,4.7,0.1,2.7,,1362.5,127.9,,4437.5,479.8,,3573.5,269.3,,18.9,0.1,71.9,3,974.1,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,2/1/2014 12:00:00 AM,14.3,0.5,323,4.8,4.6,0.1,2.2,,1702.3,185.6,,5655.7,535.6,,4876.5,342.6,,16.5,0.1,44.8,3,971.8,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,3/1/2014 12:00:00 AM,21.5,0.5,,,,,,,2440.9,203,,4549.2,503.3,,5486.1,402.8,,,,40,3,968.5,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,4/1/2014 12:00:00 AM,27.8,0.5,64,4,4.5,0.1,2.4,,3176.4,247.9,,4064.2,505.5,,6185.8,433.5,,30.4,0.1,25,3,967.8,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,5/1/2014 12:00:00 AM,32.8,0.5,324,4,4.8,0.1,2.6,,3385.3,284.2,1246.8,4860.5,702.1,3207.8,7089.7,590.2,1210.4,31.4,0.1,18.8,3,964.5,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,6/1/2014 12:00:00 AM,36,0.5,316,4,5.5,0.1,3.2,,2838.1,246.8,736.9,7170.9,528,1426.3,8279.2,536.6,292.8,20.5,0.1,11.7,3,960.7,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,7/1/2014 12:00:00 AM,37.4,0.5,303,4,6,0.1,3,,2251.5,398.2,763.7,8108.4,1353,1420,8207.9,1302.8,293.7,23.5,0.2,11.4,3,958.1,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,8/1/2014 12:00:00 AM,38.3,0.5,318,4,4.7,0.1,2.5,,2171.8,205.8,743.1,7381.4,573.6,1889.6,7544.7,504,545.1,20.5,0.1,13.8,3,959.1,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,9/1/2014 12:00:00 AM,35.1,0.5,8,4,3.6,0.1,1.6,,2006.7,161.9,464.2,6802.5,494,1050.7,6666.6,418,294.1,13.9,0.1,15.6,3,963.2,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,10/1/2014 12:00:00 AM,29,0.5,96,4,4.4,0.1,2,,2132.5,174.1,579,4738.2,426.1,2077.4,5063.8,352.4,910.3,20.3,0.1,27.2,3,968.2,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,11/1/2014 12:00:00 AM,18.6,0.5,38,4,3.9,0.1,1.9,,1311.6,135.1,439.4,5834.6,519.6,2038.9,4327.8,302.2,816.5,14.1,0.1,41.2,3,972.4,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,12/1/2014 12:00:00 AM,16,0.5,50,4,3.7,0.1,1.8,,1183.5,106.2,426.2,5518.5,477.4,2125.9,3776.1,264.4,593,13.1,0.1,46.9,3,975.1,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,1/1/2015 12:00:00 AM,13.2,0.5,311,4,4.3,0.1,2.4,,1376.9,158.3,609.3,5455.1,495.5,2438.6,4044.9,275.5,778.7,20.5,0.1,40.6,3,974.1,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,2/1/2015 12:00:00 AM,16.7,0.5,339,4,4.9,0.1,2.7,,2069.7,225.1,929.7,4809.5,474.1,2666.2,4814,332,623.2,21.3,0.1,35,3,969.7,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,3/1/2015 12:00:00 AM,21.1,0.5,38,4,4.9,0.1,2.3,,2700.3,229.7,1002.9,4286.7,493.5,2651.7,5525,381,1003.2,18.9,0.1,32.5,3,969.6,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,4/1/2015 12:00:00 AM,26.2,0.5,3,3,5.4,0.1,2.9,,3765.1,381.5,975.6,3261.4,460.9,2640.4,6174.9,567.6,1214.6,33.3,0.1,19.7,3,967.7,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,5/1/2015 12:00:00 AM,34.2,0.5,36,4,4.4,0.1,2,,3971.8,285.8,734.9,3613.1,354.7,2083.4,6866.7,451.1,1116.7,18.9,0.1,16,3,963.9,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,6/1/2015 12:00:00 AM,36.5,0.5,332,4,6,0.1,2.9,,2993.2,247.1,1028.7,6788.8,537.8,2147.2,8160.8,496.3,623.7,22.1,0.1,11.6,3,960.5,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,7/1/2015 12:00:00 AM,38.7,0.5,318,4,6,0.1,3.1,,2803,222.7,710.2,6937.7,484.9,1363.8,8075.6,479.1,358.3,23.2,0.2,10.1,3,957.6,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,8/1/2015 12:00:00 AM,39.9,0.5,350,4,5.4,0.1,2.6,,2479.6,201.3,717.4,6589.8,477.3,1655.8,7376.9,447.2,457.5,22.1,0.1,12.5,3,959.7,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,9/1/2015 12:00:00 AM,35.7,0.5,6,4,4,0.1,1.9,,2712.7,213.1,590.2,5117,407.9,1159.8,6346.6,407.1,376.1,18.7,0.1,17,3,964,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,10/1/2015 12:00:00 AM,30.5,0.5,94,4,3.9,0.1,1.8,,2538.8,177.6,430.9,3405.4,289.7,1464.1,4747.6,328.8,961.2,21.1,0.1,31.4,3,968.2,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,11/1/2015 12:00:00 AM,18.2,0.5,13,4,3,0.1,2.2,,1654.3,153,657.3,3693.8,509.4,2787.4,3566.8,282.6,1100.5,16.5,0.1,67.6,3,972.6,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,12/1/2015 12:00:00 AM,12,0.5,324,4,3.5,0.1,2.5,,1305.2,115.4,514.4,4062.9,459.4,2652.1,3238.3,245.5,1049,15.7,0.1,66.8,3,975.8,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,1/1/2016 12:00:00 AM,12.5,0.5,347,4,3.5,0.1,2.1,,1469.8,138.7,626,4657.1,497.6,2858.1,3738.1,287.1,1046.3,18.4,0.1,57.6,3,974.9,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,2/1/2016 12:00:00 AM,16.4,0.5,319,4,4.2,0.1,2.4,,1439.6,160.1,736.8,6623,524.7,2456.6,5090.2,340.2,621.6,19.5,0.1,42.3,3,973.8,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,3/1/2016 12:00:00 AM,21.1,0.5,26,4,4.5,0.1,2.2,,2655.9,225.6,1049.4,4125.2,524.7,3023.7,5373.2,401.5,1545.9,18.7,0.1,39.8,3,969.3,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,4/1/2016 12:00:00 AM,26.7,0.5,241,4,4.2,0.1,2.3,,2406,233.9,949.8,6353,606.9,3184.8,6927.2,469.2,1354.8,22.6,0.1,26.9,3,966.8,4.9
Hafar Al Batin - TVTC,28.33202,45.95708,5/1/2016 12:00:00 AM,33.2,0.5,335,4,5,0.1,2.5,,3120.2,253,949.2,6366.9,552.8,2185,7943.1,501.1,637.6,26.9,0.1,17,3,964,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,6/1/2016 12:00:00 AM,37,0.5,314,4,4.5,0.1,2.5,,3242.5,291.5,1039.8,6513.5,567.6,1944.5,8240.1,505.6,305.9,19.2,0.1,11.3,3,961.1,4.8
Hafar Al Batin - TVTC,28.33202,45.95708,7/1/2016 12:00:00 AM,39.1,0.5,317,4,4.9,0.1,2.8,,2244.3,204.2,785.2,8221.1,573.3,1590,8278.9,516.7,338.5,20.3,0.1,11.2,3,957.2,4.8
