Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Hail College of Technology Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Hail - TVTC,27.39,41.42,1/1/2015 12:00:00 AM,12.9,0.5,212,4,3.3,0.1,1.9,,1310.7,68.9,545.8,6367.2,272.4,2043.5,4517,145.9,470.5,15.2,0.1,31.6,3,913,4.6
Hail - TVTC,27.39,41.42,2/1/2015 12:00:00 AM,16.1,0.5,228,4,3.8,0.1,2.1,,1785.3,73.5,721.7,5752.4,238,2390.6,5119.2,157.5,740.4,19.7,0.1,28.2,3,909.6,4.6
Hail - TVTC,27.39,41.42,3/1/2015 12:00:00 AM,19.3,0.5,129,4,3.7,0.1,2,,2609.4,91.4,796.9,4794.4,203.1,2387.8,5873.1,171.1,891.9,15.5,0.1,29.1,3,910.4,4.6
Hail - TVTC,27.39,41.42,4/1/2015 12:00:00 AM,23,0.5,219,4,4.1,0.1,2.3,,3278.1,133.4,932,4897.7,415.8,2452.5,6863.4,533.2,981.9,22.4,0.1,17,3,909.4,4.6
Hail - TVTC,27.39,41.42,5/1/2015 12:00:00 AM,29.9,0.5,286,4,3.6,0.1,2.3,,3139.3,96.8,767.6,5405.9,203,2442,7220.4,204.3,1258.6,28.5,0.1,11.9,3,907.3,4.6
Hail - TVTC,27.39,41.42,6/1/2015 12:00:00 AM,32,0.5,340,4,3,0.1,1.5,,2727.8,93.8,899.2,7212.1,263.2,2276.3,8171.4,223.6,814,16,0.1,11.2,3,905.6,4.5
Hail - TVTC,27.39,41.42,7/1/2015 12:00:00 AM,34.4,0.5,335,4,3,0.1,1.4,,2070.9,69.3,576,8388.5,255.6,1416.1,8295.1,220.1,347.5,16.3,0.1,8.6,3,907.9,4.5
Hail - TVTC,27.39,41.42,8/1/2015 12:00:00 AM,35.2,0.5,353,4,3,0.1,1.6,,2540.1,93.9,927,6539.9,240.6,2283.3,7392.3,208.4,666.3,22.1,0.1,11,3,907.8,4.5
Hail - TVTC,27.39,41.42,9/1/2015 12:00:00 AM,32.7,0.5,129,4,2.9,0.1,1.6,,2506.8,82.8,598.2,5401.2,198.4,1675.9,6330.1,179,641.8,14.9,0.1,12.3,3,907.6,4.5
Hail - TVTC,27.39,41.42,10/1/2015 12:00:00 AM,27.5,0.5,178,4,3.2,0.1,1.7,,2132.6,65.1,495.3,4574.7,179.3,2179,5038.2,155.5,1046.1,18.9,0.1,26.3,3,910.3,4.6
Hail - TVTC,27.39,41.42,11/1/2015 12:00:00 AM,18.2,0.5,157,4,3.8,0.1,2.1,,1584.9,57.1,539.7,4680.5,188.4,1984.7,4117,126.4,1056.5,16.5,0.1,51.1,3,912,4.6
Hail - TVTC,27.39,41.42,12/1/2015 12:00:00 AM,11.2,0.5,162,4,3.3,0.1,1.8,,1344.1,47.1,452.7,4998.8,211.5,2422.6,3758.8,113.9,761.7,14.1,0.1,50,3,914.6,4.6
Hail - TVTC,27.39,41.42,1/1/2016 12:00:00 AM,11.8,0.5,183,4,3.1,0.1,1.8,,1480.4,55.5,566.3,5419.9,212.3,2372.9,4217.2,125.4,752.4,13.6,0.1,44.6,3,913.5,4.6
Hail - TVTC,27.39,41.42,2/1/2016 12:00:00 AM,15.2,0.5,190,4,3.4,0.1,1.9,,1321.1,63.1,629.4,7284.2,242.6,2398.1,5427.8,161.5,768,15.5,0.1,33.7,3,913.4,4.6
Hail - TVTC,27.39,41.42,3/1/2016 12:00:00 AM,19.1,0.5,189,4,3.7,0.1,2.1,,2255.1,80.7,774.4,5298,240.1,3122,5794.1,187.5,1457.6,20.2,0.1,32.3,3,909.9,4.6
Hail - TVTC,27.39,41.42,4/1/2016 12:00:00 AM,23.8,0.5,222,4,3.4,0.1,1.9,,2081.9,89.9,791.8,6788,270.2,2846.9,6860.2,215.3,1346.8,23.5,0.1,23,3,908.4,4.6
Hail - TVTC,27.39,41.42,5/1/2016 12:00:00 AM,29,0.5,289,4,3.3,0.1,1.8,,2294,76.9,619.5,7787.5,246.1,2040.4,8047.6,217.4,931.3,24,0.1,14.6,3,907.6,4.6
Hail - TVTC,27.39,41.42,6/1/2016 12:00:00 AM,33,0.5,322,4,3,0.1,1.6,,2453.1,78.8,574.6,7966.7,253.9,1283.2,8423.9,218.9,286.3,13.3,0.1,9.3,3,905.7,4.5
Hail - TVTC,27.39,41.42,7/1/2016 12:00:00 AM,34.6,0.5,323,4,3.1,0.1,1.5,,1660.4,61.7,352.6,9249.8,266.3,1020.7,8393.4,233.7,302.1,13.6,0.1,10.7,3,902.8,4.5
