Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Jazan University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Jazan - University,16.96035,42.545865,11/1/2014 12:00:00 AM,29.4,0.5,233,4,3,0.1,1.6,,1841.3,136.9,274.7,4925.5,373.5,1163.1,4966.1,318.5,577.4,15.5,0.1,68.1,3,1011.6,5.1
Jazan - University,16.96035,42.545865,12/1/2014 12:00:00 AM,27.1,0.5,198,4,3.1,0.1,1.4,,1777.1,125.2,303.1,4932,376.3,961.8,4725.8,295.1,290.5,13.1,0.1,72.7,3,1013.7,5.1
Jazan - University,16.96035,42.545865,1/1/2015 12:00:00 AM,26,0.5,238,4,3.4,0.1,1.7,,2252.5,154.8,390.1,3680.4,325.9,1448.5,4549,305,777.4,11.5,0.1,71.7,3,1014.2,5.1
Jazan - University,16.96035,42.545865,2/1/2015 12:00:00 AM,26,0.5,236,4,3,0.1,1.7,,2387.4,207.5,543.9,4507.7,364.2,1375.3,5408.5,358,615.2,10.7,0.1,76.2,3,1011.5,5.1
Jazan - University,16.96035,42.545865,3/1/2015 12:00:00 AM,28.4,0.5,222,4,3.2,0.1,2,,2816.6,194.8,526.1,4378.1,362.1,1245.3,6074.5,385.6,480.9,10.9,0.1,70.2,3,1009.8,5.1
Jazan - University,16.96035,42.545865,4/1/2015 12:00:00 AM,29.8,0.5,278,4,3.2,0.1,1.8,,3552.6,256.9,720,3192.8,368.7,1818.5,6219.7,419,875.4,11.5,0.1,68.9,3,1008.8,5.1
Jazan - University,16.96035,42.545865,5/1/2015 12:00:00 AM,32.3,0.5,259,4,3.2,0.1,1.9,,2957.2,207.1,535.5,4683,370.9,1060.1,6740.3,405.7,297.4,16,0.1,66.1,3,1006.4,5
Jazan - University,16.96035,42.545865,6/1/2015 12:00:00 AM,32.9,0.5,280,4,3.4,0.1,2,,,,,,,,6433.6,432.2,576.5,12.5,0.1,66.6,3,1003.8,5
Jazan - University,16.96035,42.545865,7/1/2015 12:00:00 AM,33.2,0.5,274,4,3.6,0.1,2.1,,3788.6,254.9,463.6,2752.4,239.6,1169.6,6097.1,388,557.1,16.8,0.1,63.9,3,1002.4,5
Jazan - University,16.96035,42.545865,8/1/2015 12:00:00 AM,33.6,0.5,272,4,3.4,0.1,1.9,,3507.6,236.7,414.5,2741.9,236.5,955.8,5824.1,377.9,686.3,14.1,0.1,64.8,3,1003.2,5
Jazan - University,16.96035,42.545865,9/1/2015 12:00:00 AM,32.9,0.5,296,4,2.8,0.1,2.1,,2671.7,190.3,404.6,4483.8,347,945.5,6202.6,384.1,259,32.5,0.1,68.9,3,1005.7,5
Jazan - University,16.96035,42.545865,10/1/2015 12:00:00 AM,31.8,0.5,300,4,2.2,0.1,2.1,,2061.5,145.2,303.5,5197.1,356.4,995.6,5753.9,366.1,513.8,17.3,0.1,67.7,3,1009,5.1
Jazan - University,16.96035,42.545865,11/1/2015 12:00:00 AM,29.6,0.5,285,3.7,2.8,0.1,1.8,,1926.3,141.1,262.8,4520.3,346.3,1366.1,4817,325.2,692.7,12.3,0.1,70.9,3,1010.5,5
Jazan - University,16.96035,42.545865,12/1/2015 12:00:00 AM,27.5,0.5,288,4,2.8,0.1,1.7,,1933.9,135.1,355.7,3820.9,324.8,1407,4218.6,289.4,826.7,10.4,0.1,73.4,3,1014.2,5.1
Jazan - University,16.96035,42.545865,1/1/2016 12:00:00 AM,26.4,0.5,296,4,3.1,0.1,1.9,,2386.5,160.8,299.5,3042.4,279.4,1109.7,4235.5,292.3,544.7,12,0.1,73.5,3,1014.2,5.1
Jazan - University,16.96035,42.545865,2/1/2016 12:00:00 AM,26.8,0.5,278,4,3.1,0.1,1.9,,2567.2,178.8,375.4,4010.6,304.3,1050.4,5312,340.9,429,10.1,0.1,74.6,3,1013.6,5.1
Jazan - University,16.96035,42.545865,3/1/2016 12:00:00 AM,28.9,0.5,298,4,3.2,0.1,2,,2907.7,218.1,628.8,4242.6,341,1400.9,6044.4,380.5,511.5,12.8,0.1,74.5,3,1009.7,5.1
Jazan - University,16.96035,42.545865,4/1/2016 12:00:00 AM,30.9,0.5,286,4,3.2,0.1,2,,2748.1,231.6,634.4,4631.3,408,1697.6,6345.3,421.4,814,15.2,0.1,68.1,3,1007.9,5
Jazan - University,16.96035,42.545865,5/1/2016 12:00:00 AM,32.3,0.5,305,4,3.2,0.1,1.9,,3549.2,249.9,544.3,3622.5,310.6,1216.1,6515,412.2,468,12,0.1,69.1,3,1006.7,5
Jazan - University,16.96035,42.545865,6/1/2016 12:00:00 AM,33.8,0.5,296,4,3.5,0.1,2.5,,3839.8,272.8,600.4,2879.7,304.2,1524.3,6228.3,410.2,626.7,17.3,0.1,64.8,3,1003.4,5
Jazan - University,16.96035,42.545865,7/1/2016 12:00:00 AM,32.6,0.5,286,4,3.5,0.1,2.2,,3531.6,255.3,517.7,2131,225.6,1191.2,5356.4,377.4,1081.4,16.5,0.1,68.3,3,1002.4,5
