Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
K.A.CARE Building Olaya St Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - K.A.CARE HQ,24.71,46.68,2/1/2013 12:00:00 AM,19.7,0.5,95,4,2.8,0.1,1.3,,1914.5,194.7,,6021,536.8,,5578.2,362.5,,14.7,0.1,25.9,3,941.1,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,3/1/2013 12:00:00 AM,23.9,0.5,96,4,3.1,0.1,1.5,,2951.4,274.1,,4306.8,501.7,,6013.3,453.3,,17.6,0.1,24.5,3,938.3,4.6
Riyadh - K.A.CARE HQ,24.71,46.68,4/1/2013 12:00:00 AM,27.5,0.5,137,4,3.2,0.1,1.6,,3191.4,269.2,,3928,466,,6238,564.1,,32,0.1,29,3,934.8,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,5/1/2013 12:00:00 AM,32.1,0.5,19,4,3,0.1,1.5,,3822.7,329.5,,3943.5,509.5,,7025.2,670,,31.2,0.1,22.3,3,934.1,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,6/1/2013 12:00:00 AM,36,0.5,326,4,3.4,0.1,1.7,,3254.5,422.8,,5724,484.6,,7792.7,763.9,,18.9,0.1,9.3,3,929.9,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,7/1/2013 12:00:00 AM,38.5,0.5,336,4,3.5,0.1,1.9,,2990.9,256,,5798.1,461.8,,7507.1,475.9,,19.7,0.1,9.3,3,927.2,4.6
Riyadh - K.A.CARE HQ,24.71,46.68,8/1/2013 12:00:00 AM,37.7,0.5,5,4,3,0.1,1.4,,2533.1,251.1,,6240.1,617.7,,7273.2,591.5,,15.2,0.1,10.4,3,929.3,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,9/1/2013 12:00:00 AM,35.2,0.5,16,4,2.7,0.1,1.3,,2317.8,220.2,,5970,526.8,,6584.3,462.4,,15.2,0.1,13,3,933.6,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,10/1/2013 12:00:00 AM,28.9,0.5,71,4,2.6,0.1,1.3,,1834.1,251.4,,6212.9,825.4,,5804.8,656.4,,17.1,0.1,16.6,3,938.2,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,11/1/2013 12:00:00 AM,22.3,0.5,130,4,2.7,0,1.2,,1492,176.9,,5000.3,694.9,,4259.4,594.8,,14.1,0.1,46.6,3,940.1,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,12/1/2013 12:00:00 AM,17,0.5,76,4,2.6,0,1.3,,1497,139.2,,4823.8,473.5,,4031.2,289.7,,12.5,0.1,37.9,3,943.1,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,1/1/2014 12:00:00 AM,15.5,0.5,125,4,2.7,0,1.2,,1498.9,132.1,,4892.7,466,,4142.8,290.9,,13.6,0.1,53.8,3,942.4,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,2/1/2014 12:00:00 AM,17.7,0.5,58,4,2.9,0,1.2,,1740.8,149,,6323.4,514.2,,5572.6,362.6,,14.4,0.1,33.6,3,940,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,3/1/2014 12:00:00 AM,24.1,0.5,122,4,3.1,0.1,1.5,,2671.2,214.6,,4898.3,440,,6092.3,408.7,,19.5,0.1,26.6,3,937.8,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,4/1/2014 12:00:00 AM,30.1,0.5,94,4,3,0,1.5,,3261.8,250.9,,4511.1,450.5,,6746.4,440.8,,23.5,0.1,18.9,3,937.3,4.6
Riyadh - K.A.CARE HQ,24.71,46.68,5/1/2014 12:00:00 AM,34.2,0.5,356,4,3,0.1,1.5,,3365,266.7,832,4863.3,455.6,2257.3,7180.1,469.8,982,23.2,0.1,15,3,934.5,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,6/1/2014 12:00:00 AM,36.5,0.5,338,4,3.1,0.1,1.5,,3026.8,254.3,824.2,6325.5,490.3,1640.7,7953.5,483.2,328.3,17.1,0.1,10.3,3,931.4,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,7/1/2014 12:00:00 AM,38.2,0.5,312,4,3.1,0.1,1.3,,2614.4,218.2,738.9,7004.4,489.8,1433.3,8001,481.4,321.8,16.3,0.1,9.8,3,929.2,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,8/1/2014 12:00:00 AM,38.4,0.5,354,4,3.1,0.1,1.4,,2228.1,169.6,442.3,7024.2,509.2,1219.1,7494.9,489.6,443.3,15.7,0.1,12.9,3,929.8,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,9/1/2014 12:00:00 AM,35.8,0.5,57,4,2.8,0.1,1.3,,2288.7,195.1,654.1,6067,489.8,1505.1,6596.2,410.1,320.2,13.3,0.1,14.4,3,933.3,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,10/1/2014 12:00:00 AM,31,0.5,120,3.7,2.6,0,1.1,,1720,126.3,353.4,6502,503.4,890.4,5858.2,509.2,403,15.2,0.1,23.5,3,938.6,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,11/1/2014 12:00:00 AM,21.6,0.5,91,4,2.7,0,1.2,,1764.6,160.5,585.3,4786.7,466.9,2321.9,4482.7,316.7,930.4,17.6,0.1,39.7,3,941.5,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,12/1/2014 12:00:00 AM,18.8,0.5,89,4,2.2,0,1.1,,1291.8,122.1,394.2,5753.1,426.5,1746.2,4251.3,272.3,493.7,11.5,0.1,40.2,3,943.8,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,1/1/2015 12:00:00 AM,16.8,0.5,334,4,2.4,0,1.2,,1413.1,142.2,693.1,6194.7,546.1,2636.3,4696.4,331.4,837.4,13.9,0.1,30,3,942.9,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,2/1/2015 12:00:00 AM,21,0.5,82,4,2.8,0.1,1.4,,2191.4,194.2,746.7,5192.7,590.2,2269.5,5370.9,418.1,801.5,18.1,0.1,27.2,3,939.2,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,3/1/2015 12:00:00 AM,23.8,0.5,97,4,3,0.1,1.4,,2932.6,223.2,666.3,4118.5,398,1953.9,5828.3,407.9,897.1,18.7,0.1,33.1,3,939.1,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,4/1/2015 12:00:00 AM,28.9,0.5,44,4,3.4,0.1,1.8,,3945,292.8,801.2,3397.9,438.2,1954.8,6633.5,484.3,1162.4,19.2,0.1,16.5,3,937.7,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,5/1/2015 12:00:00 AM,35.2,0.5,174,4,3.1,0.1,1.5,,3644.7,275.5,738.1,4192.5,483.9,2040.6,7012.8,495.8,1176.6,21.3,0.1,15.7,3,934.5,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,6/1/2015 12:00:00 AM,37.5,0.5,351,4,3.3,0.1,1.6,,3327.3,271.2,708.6,5933.5,504.2,1495.7,7988.4,521.5,399.4,16.8,0.1,9.2,3,931.2,4.7
Riyadh - K.A.CARE HQ,24.71,46.68,7/1/2015 12:00:00 AM,38.9,0.5,322,4,3,0.1,1.3,,2889.6,222.9,454,6398.7,464.2,898.5,7903.4,508.6,327.2,16.8,0.1,9,3,928.9,4.7
