Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
K.A.CARE City Site Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - K.A.CARE City T2,24.52958,46.43635,2/1/2013 12:00:00 AM,18,0.5,83,4,4.2,0.1,1.6,,1760.3,188.1,,6730,569,,5783.7,389.1,,14.7,0.1,26.3,3,915.1,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,3/1/2013 12:00:00 AM,22,0.5,90,4,4.3,0.1,1.9,,2842.8,227.6,,4891.8,511.9,,6258.3,414.9,,18.4,0.1,26,3,912.9,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,4/1/2013 12:00:00 AM,25.2,0.5,104,4,4.6,0.1,2,,3155.9,304.2,,4313.1,466.2,,6470.4,551.8,,28,0.1,31.1,3,910,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,5/1/2013 12:00:00 AM,29.7,0.5,43,4,3.9,0.1,1.8,,3770.6,386.3,,4372.9,440.9,,7286.3,660.6,,26.9,0.1,24.1,3,909.8,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,6/1/2013 12:00:00 AM,33.8,0.5,0,4,4.4,0.1,2.1,,3014.2,311.2,,6355.7,511.5,,7995.3,668.2,,17.1,0.1,9.4,3,906.2,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,7/1/2013 12:00:00 AM,36.4,0.5,7,4,4.2,0.1,2.1,,2918.7,245.4,,6179.8,478.4,,7701.6,479.2,,18.4,0.1,9.2,3,903.8,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,8/1/2013 12:00:00 AM,35.5,0.5,34,4,3.8,0.1,1.7,,2458,229.6,,6509.5,570.1,,7366.6,577.2,,16,0.1,10.4,3,905.6,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,9/1/2013 12:00:00 AM,32.9,0.5,46,4,3.5,0.1,1.5,,2225.2,302.5,,6218.4,976.6,,6632.3,793.4,,16.3,0.1,13,3,909.5,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,10/1/2013 12:00:00 AM,27,0.5,81,4,3.8,0.1,1.8,,1705.1,273.4,,6753.8,929.9,,5975.7,764.5,,15.5,0.1,16.8,3,913.3,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,11/1/2013 12:00:00 AM,20.5,0.5,105,4,3.9,0.1,2,,1428.5,257,,5614.1,749.6,,4506.5,609.2,,16,0.1,49.5,3,914.4,4.6
