Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Abdulaziz University (Osfan Campus) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Osfan - KAU,21.89252,39.2539,10/1/2013 12:00:00 AM,30.3,0.5,351,4,2.6,0.1,1.5,,2067.5,201.4,,5202.1,461.8,,5548.7,425.1,,11.7,0.1,61.1,3,996.2,5
Osfan - KAU,21.89252,39.2539,11/1/2013 12:00:00 AM,28.5,0.5,18,4,2.9,0.1,1.6,,1455.2,117.1,,5757.1,443.9,,4771.3,297,,14.9,0.1,51.4,3,997.8,5
Osfan - KAU,21.89252,39.2539,12/1/2013 12:00:00 AM,24.8,0.5,34,4,3.5,0.1,1.9,,1550.1,123.3,,5025.2,400.1,,4285.3,279.5,,15.2,0.1,51,3,1001.4,5
Osfan - KAU,21.89252,39.2539,1/1/2014 12:00:00 AM,24.7,0.5,27,4,3.2,0.1,1.9,,1815.9,147.2,,4137.2,470.5,,4113.3,293.9,,15.2,0.1,54.9,3,1000.5,5
Osfan - KAU,21.89252,39.2539,2/1/2014 12:00:00 AM,25.3,0.5,33,4,3.6,0.1,2.1,,1986.1,174.1,,5427.7,451.2,,5393.1,383.4,,17.9,0.1,51.8,3,998.9,5
Osfan - KAU,21.89252,39.2539,3/1/2014 12:00:00 AM,27,0.5,346,4,3.4,0.1,2,,2390.9,193.5,,5492.7,454.9,,6233,472.7,,19.2,0.1,52.2,3,997.6,5
Osfan - KAU,21.89252,39.2539,4/1/2014 12:00:00 AM,30.7,0.5,336,4,3.4,0.1,2.1,,2963.3,236.9,,4369.6,437.8,,6277.4,442.5,,21.6,0.1,45.8,3,996.1,5
Osfan - KAU,21.89252,39.2539,5/1/2014 12:00:00 AM,31.3,0.5,355,3.7,3.3,0.1,1.7,,2751.1,241.8,801.8,5735.8,487.7,1994.3,7149.1,450.7,725.5,15.5,0.1,47.8,3,994.6,4.9
Osfan - KAU,21.89252,39.2539,6/1/2014 12:00:00 AM,32.9,0.5,358,3.8,3.5,0.1,1.8,,2788.7,228.6,685.8,5974.5,530.4,1564.8,7422.9,464.2,360.5,16.3,0.1,48,3,991.9,4.9
Osfan - KAU,21.89252,39.2539,7/1/2014 12:00:00 AM,34.3,0.5,355,4,3.1,0.1,1.6,,2674.4,220.7,701.7,5858.9,455.8,1487.4,7229.5,487,401.2,14.4,0.1,44.6,3,992,5
