Solar Resource Report for King Abdullah City for Atomic and Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,
King Abdullah University of Science and Technology Station,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Range: Feb 2013 to Jul 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Data within Range is Provided Below,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared By: King Abdullah City for Atomic and Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
http://rratlas.kacare.gov.sa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Thuwal - KAUST,22.3065,39.10701,06-01-2013 00:00,31,0.5,312,4,2.4,0,1.3,,2607,250.3,,6556.3,534.3,,7614.5,509.1,,11.2,0.1,62.6,3,1001.3,5
Thuwal - KAUST,22.3065,39.10701,07-01-2013 00:00,31.6,0.5,294,4,2.4,0,1.2,,2946.7,253.1,,5138.9,415.8,,7025.1,442,,12.5,0.1,68.4,3,999.1,5
Thuwal - KAUST,22.3065,39.10701,08-01-2013 00:00,32,0.5,282,4,2.5,0,1.4,,2780.7,224.7,,4874.9,397.8,,6556.1,414,,12.5,0.1,69.2,3,1000.9,5
Thuwal - KAUST,22.3065,39.10701,09-01-2013 00:00,31.1,0.5,308,4,2.4,0,1.3,,2596.4,232,,4684.5,445.1,,6109.1,485.6,,10.9,0.1,75.1,3,1002.6,5
Thuwal - KAUST,22.3065,39.10701,10-01-2013 00:00,29.2,0.5,310,4,2.1,0,1.3,,1995.1,313.2,,5143.5,577.4,,5439.2,587.9,,10.7,0.1,75.2,3,1006.5,5
Thuwal - KAUST,22.3065,39.10701,11-01-2013 00:00,27.9,0.5,340,4,2.2,0,1.2,,1374.7,117,,5886,526.1,,4753.3,358.3,,14.1,0.1,57.3,3,1008,5.1
Thuwal - KAUST,22.3065,39.10701,12-01-2013 00:00,24.6,0.5,11,4,2.4,0,1.1,,1417.4,113.3,,5412.7,396.7,,4351,280.6,,12,0.1,54.6,3,1011.9,5.1
Thuwal - KAUST,22.3065,39.10701,01-01-2014 00:00,24.4,0.5,354,4,2.2,0,1.3,,1754.7,200.3,,4317.6,479.5,,4141.3,362.8,,16.8,0.1,61.9,3,1011.1,5.1
Thuwal - KAUST,22.3065,39.10701,02-01-2014 00:00,24.9,0.5,357,4,2.4,0,1.3,,1889.1,167.3,,5479.1,478.8,,5343,341.4,,12.8,0.1,58.2,3,1009.4,5.1
Thuwal - KAUST,22.3065,39.10701,03-01-2014 00:00,25.5,0.5,308,4,2.6,0.1,1.5,,2396.4,222.6,,5209.2,472.9,,6070.9,422.1,,13.1,0.1,67.9,3,1008,5
