Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Faisal University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Ahsa - KFU,25.34616,49.5956,6/1/2013 12:00:00 AM,36.8,0.5,323,4,2.9,0.1,1.4,,3985.3,374.5,,4194.1,413,,7324,554.9,,13.9,0.1,13.3,3,982.6,4.9
Al Ahsa - KFU,25.34616,49.5956,7/1/2013 12:00:00 AM,38.6,0.5,336,4,2.4,0,1.2,,3438,277.2,,5049.6,387.9,,7438.9,465.5,,12,0.1,17.3,3,979.3,4.9
Al Ahsa - KFU,25.34616,49.5956,8/1/2013 12:00:00 AM,36.9,0.5,2,4,2,0,1.1,,2670.1,223.3,,5865.6,444.1,,7118.2,433.5,,12.5,0.1,27.4,3,982,4.9
Al Ahsa - KFU,25.34616,49.5956,9/1/2013 12:00:00 AM,34.5,0.5,334,4,2.1,0,1.1,,2288.5,211.9,,5969.5,491.2,,6556.2,462.9,,12.3,0.1,30,3,987.1,4.9
Al Ahsa - KFU,25.34616,49.5956,10/1/2013 12:00:00 AM,28.1,0.5,330,4,1.9,0,1.2,,1691.9,141,,6406.1,468.2,,5719,370.2,,10.1,0.1,29.7,3,993.7,5
Al Ahsa - KFU,25.34616,49.5956,11/1/2013 12:00:00 AM,22.6,0.5,359,4,1.7,0,1,,1425,143.1,,5001.6,425,,4181,304.8,,10.7,0,61.4,3,997.4,5
Al Ahsa - KFU,25.34616,49.5956,12/1/2013 12:00:00 AM,16.7,0.5,304,4,2.1,0,1.2,,1474,131.7,,5106.3,429,,4083.7,257.1,,10.4,0.1,46.7,3,1001.5,5
Al Ahsa - KFU,25.34616,49.5956,1/1/2014 12:00:00 AM,15.4,0.5,,,,,,,1642.9,147.9,,4186.1,419.6,,3882.5,280.1,,,,66.4,3,1001.3,5
Al Ahsa - KFU,25.34616,49.5956,2/1/2014 12:00:00 AM,17.3,0.5,338,4,0.9,0,1.3,,1930.3,168.7,,5341.3,632.7,,5174.3,474.5,,9.9,0,44.8,3,998.3,4.9
Al Ahsa - KFU,25.34616,49.5956,3/1/2014 12:00:00 AM,24.1,0.5,62,3.7,2.3,0,1.2,,2567.1,97.1,890.7,4878.2,225.7,2621.7,5882.4,180.8,1098.9,13.6,0.1,34.3,3,995.3,4.9
