Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Saud University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - KSU,24.72359,46.61639,11/1/2014 12:00:00 AM,20.9,0.5,82,3.7,1.8,0,1,,1756.5,161,581.3,4779.8,466.4,2314.6,4487.1,337,939.9,12,0,41,3,942.1,4.7
Riyadh - KSU,24.72359,46.61639,12/1/2014 12:00:00 AM,17.9,0.5,83,4,1.4,0,0.9,,1278,119.9,399.9,5677.3,422.6,1690.1,4238.4,269,483.3,8,0,42.6,3,944.6,4.7
Riyadh - KSU,24.72359,46.61639,1/1/2015 12:00:00 AM,15.8,0.5,55,4,1.5,0,1,,1396.1,134.3,684.9,6020.3,502.1,2565.6,4639.8,308.6,846.6,9.9,0.1,31.4,3,943.6,4.7
Riyadh - KSU,24.72359,46.61639,2/1/2015 12:00:00 AM,20.3,0.5,71,4,1.8,0,1.2,,2188.2,187,750.5,5130.5,548.8,2265.8,5335.1,386.7,762.6,12.3,0.1,28,3,939.9,4.7
Riyadh - KSU,24.72359,46.61639,3/1/2015 12:00:00 AM,23.3,0.5,89,4,2,0,1.1,,2883.6,214.6,647.3,4075.7,389.5,1976.2,5749.3,390.9,924.1,10.9,0.1,33.9,3,939.8,4.7
Riyadh - KSU,24.72359,46.61639,4/1/2015 12:00:00 AM,28.1,0.5,66,4,2.4,0.1,1.4,,3945.8,299.7,797.6,3357,417.8,1918.6,6603.5,456.7,1152.3,13.6,0.1,17.3,3,938.4,4.7
Riyadh - KSU,24.72359,46.61639,5/1/2015 12:00:00 AM,34.4,0.5,91,4,2,0,1.3,,3624.2,270.4,746.4,4182.4,449.6,2032.6,6982.3,469.4,1167.2,15.5,0.1,16.9,3,935.2,4.7
Riyadh - KSU,24.72359,46.61639,6/1/2015 12:00:00 AM,36.7,0.5,23,4,2.2,0,1.5,,3340.3,257.2,706.6,5812.2,468.8,1462.5,7907.9,485.7,362.4,14.7,0.1,11.1,3,931.9,4.7
Riyadh - KSU,24.72359,46.61639,7/1/2015 12:00:00 AM,38,0.5,3,3,2,0,1.4,,2869,206.1,447.2,6292.9,428.2,927.8,7799.4,463.2,354.2,14.1,0.1,11,3,929.6,4.6
Riyadh - KSU,24.72359,46.61639,8/1/2015 12:00:00 AM,38.4,0.5,26,4,1.9,0,1.4,,2757.3,209,590.8,5810,417.1,1423.5,7218.2,436.7,438.4,14.7,0.1,12.7,3,931.3,4.7
