Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Majmaah University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Majmaah - University,25.8594,45.4187,8/1/2013 12:00:00 AM,35,0.5,4,4,3.1,0.1,1.9,,2542.7,255.3,,6563.4,635.6,,7464.4,630.7,,14.9,0.1,11.4,3,924.7,4.6
Majmaah - University,25.8594,45.4187,9/1/2013 12:00:00 AM,31.7,0.5,47,4,2.7,0.1,1.6,,2160.4,304.6,,6331.2,801.1,,6622.1,745.9,,12,0.1,13.7,3,928.9,4.7
Majmaah - University,25.8594,45.4187,10/1/2013 12:00:00 AM,25.1,0.5,142,4,3.1,0.1,2,,1793.3,238.4,,6253.2,744.7,,5748.6,601.1,,13.3,0.1,18.1,3,933.3,4.7
Majmaah - University,25.8594,45.4187,11/1/2013 12:00:00 AM,19.7,0.5,160,4,3.5,0.1,2.1,,1626.8,277.9,,4944.1,726.4,,4295.3,569,,18.4,0.1,50.9,3,934.8,4.6
Majmaah - University,25.8594,45.4187,12/1/2013 12:00:00 AM,13.5,0.5,152,4,3.2,0.1,2,,1477,173.5,,4947.3,696.7,,3955.8,429,,13.6,0.1,46,3,937.9,4.7
Majmaah - University,25.8594,45.4187,1/1/2014 12:00:00 AM,12.7,0.5,167,4,3.4,0.1,2,,1503.7,228.8,,4709.1,684.8,,3953.6,478.7,,14.7,0.1,62.2,3,937,4.7
Majmaah - University,25.8594,45.4187,2/1/2014 12:00:00 AM,14.6,0.5,,,3.4,0.1,2.1,,1670.5,142.9,,6443.2,528.5,,5473.5,349.3,,14.9,0.1,38.7,3,934.8,4.7
Majmaah - University,25.8594,45.4187,3/1/2014 12:00:00 AM,21.3,0.5,,,4.1,0.1,2.3,,2614.3,202.3,,4783,457.4,,5919.8,417,,17.3,0.1,31.2,3,932.5,4.7
Majmaah - University,25.8594,45.4187,4/1/2014 12:00:00 AM,26.7,0.5,124,4,3.8,0.1,2.1,,3450.3,267.9,,3492.3,460.9,,6113.5,462.3,,26.6,0.1,23.6,3,932.2,4.7
Majmaah - University,25.8594,45.4187,5/1/2014 12:00:00 AM,31,0.5,313,4,3.6,0.1,2.1,,3534.5,274.5,1005.1,4843.9,479.1,2430,7338.2,478.1,964.2,20.5,0.1,15.8,3,929.7,4.7
Majmaah - University,25.8594,45.4187,6/1/2014 12:00:00 AM,33.6,0.5,347,4,3.5,0.1,2,,3007.7,257,790.6,6821.8,522.9,1627.8,8236.4,501.6,401.3,20.8,0.1,10.1,3,927,4.7
Majmaah - University,25.8594,45.4187,7/1/2014 12:00:00 AM,35,0.5,320,4,3.6,0.1,2.2,,2381.1,221.1,790.8,7776.5,520.2,1504.1,8225.2,488.9,292.5,17.6,0.1,9.9,3,924.8,4.6
Majmaah - University,25.8594,45.4187,8/1/2014 12:00:00 AM,35.3,0.5,359,4,3,0.1,1.9,,2213.3,191.3,594.6,7401.4,538.8,1561.2,7658.7,480.1,475.9,17.3,0.1,11.8,3,925.4,4.6
Majmaah - University,25.8594,45.4187,9/1/2014 12:00:00 AM,32.6,0.5,79,4,2.7,0.1,1.6,,2235.8,205,677,6345.9,499.1,1773.5,6687.8,423.4,523.3,13.9,0.1,13.4,3,928.6,4.7
Majmaah - University,25.8594,45.4187,10/1/2014 12:00:00 AM,28,0.5,164,4,3.3,0.1,2,,1865.1,141.3,316.9,6233.7,432.3,905.5,5814.8,369.5,432.7,15.7,0.1,21.5,3,933.2,4.7
Majmaah - University,25.8594,45.4187,11/1/2014 12:00:00 AM,18.1,0.5,132,4,3,0.1,1.7,,1589.3,145.1,587.8,5145.9,540.2,2759.8,4404.3,329.5,1145.3,16.8,0.1,41.3,3,936.4,4.7
Majmaah - University,25.8594,45.4187,12/1/2014 12:00:00 AM,15.5,0.5,137,4,2.5,0.1,1.5,,1316.1,121.2,465.4,5885.4,446.1,1819.5,4230.3,271.2,478.7,11.7,0.1,49.5,3,938.6,4.7
Majmaah - University,25.8594,45.4187,1/1/2015 12:00:00 AM,13.4,0.5,178,4,3,0.1,1.9,,1368.5,136.8,682.6,6241.1,533.7,2805.3,4587.5,314,810.7,12.8,0.1,34.3,3,937.6,4.7
Majmaah - University,25.8594,45.4187,2/1/2015 12:00:00 AM,17.6,0.5,207,4,3.5,0.1,2.1,,2150.5,213.9,902.2,5428.6,554.4,2408.9,5395.2,380.9,584.7,16,0.1,28.7,3,933.8,4.7
Majmaah - University,25.8594,45.4187,3/1/2015 12:00:00 AM,20.8,0.5,109,4,3.4,0.1,1.7,,2848.9,225.1,812.2,3877.3,372.5,2183.1,5570.2,394.6,1357,15.5,0.1,39.6,3,933.8,4.7
Majmaah - University,25.8594,45.4187,4/1/2015 12:00:00 AM,25.8,0.5,80,4,4,0.1,2.2,,4154.8,360.6,775.7,2993.8,354.8,1644.2,6577.7,520.3,1099.5,24.8,0.1,17.9,3,932.5,4.6
Majmaah - University,25.8594,45.4187,5/1/2015 12:00:00 AM,32.5,0.5,155,4,3.5,0.1,2,,4155.3,311.6,790.6,4195.1,473.5,2075.3,7476.9,524.7,1073.8,19.5,0.1,15.4,3,929.5,4.7
Majmaah - University,25.8594,45.4187,6/1/2015 12:00:00 AM,34.4,0.5,11,4,2.9,0.1,2,,3669.4,332.3,1003.7,6235.5,540.6,1977,8498.1,551.5,493.4,20.5,0.1,10.2,3,926.8,4.6
Majmaah - University,25.8594,45.4187,7/1/2015 12:00:00 AM,36.1,0.5,343,4,3,0.1,2,,3023.6,246.6,631.2,7038.8,516.2,1302.5,8437.1,548.5,390.6,19.5,0.1,8.9,3,924.8,4.6
Majmaah - University,25.8594,45.4187,8/1/2015 12:00:00 AM,36.7,0.5,18,3.7,3,0.1,1.9,,2897.9,249.2,867,5793.2,539.5,1898,7287.9,493.7,648.1,21.1,0.1,10.3,3,926.3,4.6
Majmaah - University,25.8594,45.4187,9/1/2015 12:00:00 AM,33,0.5,67,3.7,2.4,0.1,1.6,,2572.5,198.7,601.1,5498.7,419.3,1172,6515.5,392.4,310.5,12.5,0.1,14,3,930,4.6
Majmaah - University,25.8594,45.4187,10/1/2015 12:00:00 AM,29.4,0.5,153,4,2.7,0.1,1.7,,2621.4,192.9,461,3599.3,339.1,1667.1,5025.4,351,838.6,18.7,0.1,23.9,3,933.4,4.7
Majmaah - University,25.8594,45.4187,11/1/2015 12:00:00 AM,19.8,0.5,100,4,3.2,0.1,1.7,,1889.9,147,474.8,3730.3,363.8,1679,3989.6,278.2,910.4,16.3,0.1,55.4,3,936,4.7
