Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Najran University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Najran - University,17.63228,44.53735,1/1/2014 12:00:00 AM,18.1,0.5,82,4,1.9,0,1.1,,1576.2,175.3,,6548.3,603.3,,5429.4,412.8,,11.2,0.1,38.9,3,885.5,4.4
Najran - University,17.63228,44.53735,2/1/2014 12:00:00 AM,19.8,0.5,86,4,2,0,1.1,,1916.2,242.3,,6418.2,595.3,,6114.7,506.8,,10.1,0.1,32.7,3,883.5,4.4
Najran - University,17.63228,44.53735,3/1/2014 12:00:00 AM,24.8,0.5,57,4,2.3,0,1.2,,2582.7,255.5,,5976.9,512.3,,6886.3,479.3,,12.8,0.1,23.6,3,882.3,4.4
Najran - University,17.63228,44.53735,4/1/2014 12:00:00 AM,28,0.5,84,4,2.2,0,1.2,,2384.1,272.8,,7196.3,576.9,,7739.9,493.3,,20.8,0.1,17.6,3,882.5,4.4
Najran - University,17.63228,44.53735,5/1/2014 12:00:00 AM,30.6,0.5,47,4,2.3,0,1.2,,2973.7,261.6,933.3,6030,578.8,1864.7,7641.4,608.6,455.8,17.3,0.1,17.1,3,880.7,4.4
Najran - University,17.63228,44.53735,6/1/2014 12:00:00 AM,32.6,0.5,31,4,2.1,0,1.2,,3404.8,302.8,907.1,5618.8,494.4,1734.6,7802.4,592.6,371.8,14.9,0.1,10.4,3,878.6,4.4
Najran - University,17.63228,44.53735,7/1/2014 12:00:00 AM,34,0.5,353,4,2.5,0,1.3,,3846.8,347.5,737.3,4025.1,448.2,1731.9,7025.9,592.3,755.1,17.3,0.1,12.1,3,877.3,4.4
Najran - University,17.63228,44.53735,8/1/2014 12:00:00 AM,33.3,0.5,12,4,2.5,0,1.3,,3010.9,250.9,668.5,5531.5,439.4,1445.9,7358,455.6,466.8,13.9,0.1,14.5,3,876.9,4.4
Najran - University,17.63228,44.53735,9/1/2014 12:00:00 AM,30.8,0.5,28,4,2.3,0,1.2,,2445.2,211.5,701.4,6048.1,510.2,1915.5,6903.9,443.4,659.9,13.3,0.1,15.8,3,879.7,4.4
Najran - University,17.63228,44.53735,10/1/2014 12:00:00 AM,25.9,0.5,69,4,1.9,0,1.1,,1428.2,146.3,483.9,8096.1,542.4,1381.6,6782.1,442.2,296.4,10.4,0.1,20.1,3,883.8,4.4
Najran - University,17.63228,44.53735,11/1/2014 12:00:00 AM,21.9,0.5,89,4,1.8,0,1.1,,1231.6,105.1,314.3,7765.8,518.6,1161,5915.3,368.2,441.1,9.9,0.1,29.7,3,885,4.4
Najran - University,17.63228,44.53735,12/1/2014 12:00:00 AM,17.6,0.5,109,4,1.6,0,1,,1077.3,93.2,396.9,8126.3,565.9,1459.5,5585.7,338.5,346.6,8.5,0,34.8,3,887.1,4.4
Najran - University,17.63228,44.53735,1/1/2015 12:00:00 AM,17.2,0.5,94,4,1.8,0,1.1,,1552,185.4,1021.3,7262.9,622.1,3293.7,5727.3,408.3,822.9,10.9,0.1,26.2,3,886.3,4.4
Najran - University,17.63228,44.53735,2/1/2015 12:00:00 AM,22.8,0.5,86,4,2,0,1.2,,1958.3,247.4,1163.1,7291.8,576.5,2428.5,6591.8,403.8,211,13.9,0.1,17.6,3,883.3,4.4
Najran - University,17.63228,44.53735,3/1/2015 12:00:00 AM,25.4,0.5,75,4,2.1,0,1.2,,2608.5,242.3,999.5,5746.9,499.8,2581.2,6773.5,439,1041.9,14.7,0.1,28.4,3,883.1,4.4
Najran - University,17.63228,44.53735,4/1/2015 12:00:00 AM,27.9,0.5,84,4,2.1,0,1.2,,3604.4,305.1,1228.3,4589.6,490.2,3132.6,7124.9,480.1,1465.1,13.1,0.1,16.5,3,882.5,4.4
Najran - University,17.63228,44.53735,5/1/2015 12:00:00 AM,30.9,0.5,57,4,2.3,0,1.3,,2938.5,246.1,713.7,5865.7,458.2,1641.8,7532.4,468.2,710.2,14.9,0.1,22.1,3,880.9,4.4
Najran - University,17.63228,44.53735,6/1/2015 12:00:00 AM,32.9,0.5,359,4,2.4,0,1.3,,3604.7,333.2,1132.3,5135.2,480.5,2327.1,7638.5,472.6,611.5,12,0.1,10.9,3,878.4,4.4
Najran - University,17.63228,44.53735,7/1/2015 12:00:00 AM,34.4,0.5,353,4,2.6,0,1.3,,3859.2,278.1,613.7,4271.6,366.6,1578.8,7235.8,449.7,766.9,13.1,0.1,10.5,3,876.9,4.4
Najran - University,17.63228,44.53735,8/1/2015 12:00:00 AM,33.5,0.5,17,4,2.3,0,1.2,,3075.9,239.2,696.3,5303.8,440.2,1723.8,7186,449.9,642.4,20.5,0.1,15.2,3,877.7,4.4
Najran - University,17.63228,44.53735,9/1/2015 12:00:00 AM,30.8,0.5,46,4,2.1,0,1.2,,2301.8,202.1,585.2,6802.9,474.9,1238.3,7330.7,438.9,302.7,11.7,0.1,14.7,3,880.8,4.4
Najran - University,17.63228,44.53735,10/1/2015 12:00:00 AM,26.6,0.5,72,3.7,1.9,0,1.1,,1751.8,131.2,433.9,7429.1,497,1115,6725,415.2,422.6,11.5,0.1,21.2,3,884.1,4.4
Najran - University,17.63228,44.53735,11/1/2015 12:00:00 AM,22.4,0.5,80,4,1.9,0,1.1,,1459.5,179,690.8,7190.4,506.3,2092.3,5779.9,368.5,551.7,10.4,0.1,37,3,884.6,4.4
Najran - University,17.63228,44.53735,12/1/2015 12:00:00 AM,18.1,0.5,98,4,1.9,0,1.1,,1380.6,128.8,468.2,6309.2,489.7,2586.2,4979.2,330.6,1239.6,9.9,0.1,42.7,3,886.8,4.4
Najran - University,17.63228,44.53735,1/1/2016 12:00:00 AM,18.3,0.5,89,4,1.9,0,1,,1651.6,155.2,657.5,6180.5,513.1,2215.7,5358.7,352.9,915.1,10.4,0.1,39.6,3,885.9,4.4
Najran - University,17.63228,44.53735,2/1/2016 12:00:00 AM,19.9,0.5,92,4,1.9,0,1.1,,1617.9,170.5,657.9,7667.3,585.5,1867.5,6569.4,421.6,444.1,12.3,0.1,24.7,3,885.9,4.4
Najran - University,17.63228,44.53735,3/1/2016 12:00:00 AM,27.2,0.5,66,4,2.2,0,1.2,,2891.7,270.1,950.7,5368.6,439.9,1881.2,6892,420.8,404.2,12.5,0.1,27.6,3,882.5,4.4
Najran - University,17.63228,44.53735,4/1/2016 12:00:00 AM,24.4,0.5,42,4,2.2,0,1.4,,2956.5,270.7,886.3,4358.8,453.4,2287.6,6318.5,448.8,1393.8,17.9,0.1,48.8,3,882.6,4.4
