Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Prince Sattam bin Abdulaziz University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Kharj - SAU,24.14717,47.26999,8/1/2013 12:00:00 AM,36.2,0.5,348,4,2.4,0.1,1.5,,2704.7,299.9,,5752.9,645.7,,7085.8,639.5,,15.2,0.1,13.1,3,950.9,4.7
Al Kharj - SAU,24.14717,47.26999,9/1/2013 12:00:00 AM,33,0.5,346,4,2,0,1.2,,2258.8,302.6,,5878.6,938.5,,6491.7,781.7,,13.9,0.1,15.6,3,955.6,4.8
Al Kharj - SAU,24.14717,47.26999,10/1/2013 12:00:00 AM,26.9,0.5,314,4,2.1,0,1.3,,1769.4,258.1,,6095.8,870.7,,5670.1,730.3,,13.1,0.1,18.7,3,961.1,4.8
Al Kharj - SAU,24.14717,47.26999,11/1/2013 12:00:00 AM,21.3,0.5,147,4,2.2,0,1.3,,1502.7,144,,5263.5,448.2,,4410.5,302.1,,18.7,0.1,50.4,3,963.6,4.8
Al Kharj - SAU,24.14717,47.26999,12/1/2013 12:00:00 AM,15.6,0.5,318,4,2.4,0.1,1.6,,1512.1,142.4,,4997.4,437.6,,4067.2,268.3,,13.9,0.1,42.1,3,966.9,4.9
Al Kharj - SAU,24.14717,47.26999,1/1/2014 12:00:00 AM,14.7,0.5,190,4,2.3,0.1,1.4,,1573.6,140.5,,4646.4,454.4,,4073.4,289.4,,13.1,0.1,57.5,3,966.3,4.8
Al Kharj - SAU,24.14717,47.26999,2/1/2014 12:00:00 AM,16.7,0.5,205,4,2.7,0.1,1.6,,1795.2,157.6,,5938.7,501.6,,5386.3,356.9,,14.1,0.1,35.7,3,963.5,4.8
Al Kharj - SAU,24.14717,47.26999,3/1/2014 12:00:00 AM,23.5,0.5,170,4,3,0.1,1.7,,2752.4,215,,4801.6,403.1,,6096,392.2,,16.5,0.1,26.6,3,961,4.8
Al Kharj - SAU,24.14717,47.26999,4/1/2014 12:00:00 AM,29.3,0.5,162,4,2.7,0.1,1.6,,3141.1,275.4,,5076.2,494.6,,6986.1,456.4,,19.7,0.1,18.4,3,960.1,4.8
Al Kharj - SAU,24.14717,47.26999,5/1/2014 12:00:00 AM,33.2,0.5,244,4,2.4,0.1,1.4,,3350.1,255.3,848.1,4804.8,483.3,2205.4,7100.7,465.7,900.8,15.2,0.1,15,3,956.7,4.8
