Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Qassim University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Qassim - University,26.34668,43.76645,6/1/2013 12:00:00 AM,33.8,0.5,351,4,2.6,0,1.1,,2706.6,225.2,,7227.1,628.6,,8238.3,656.5,,14.9,0.1,12.6,3,930.9,4.7
Qassim - University,26.34668,43.76645,7/1/2013 12:00:00 AM,36.4,0.5,359,4,2.5,0,1,,2127.4,190,,7930.8,658.2,,8079.1,651.7,,12.3,0.1,12,3,928.3,4.6
Qassim - University,26.34668,43.76645,8/1/2013 12:00:00 AM,35.9,0.5,0,4,2.4,0,1,,2229.3,250.9,,7054.7,904.3,,7479.9,845.2,,11.7,0.1,12.2,3,929.5,4.7
Qassim - University,26.34668,43.76645,9/1/2013 12:00:00 AM,33,0.5,44,4,2.3,0,1,,2227.4,289.6,,6303.2,605.1,,6640.7,642.2,,13.1,0.1,14.5,3,933.7,4.7
Qassim - University,26.34668,43.76645,10/1/2013 12:00:00 AM,26.4,0.5,96,4,2.7,0,1.2,,1910.4,185.3,,5970.8,541.8,,5662.6,396.2,,12.3,0.1,19.5,3,937.8,4.7
Qassim - University,26.34668,43.76645,11/1/2013 12:00:00 AM,20.8,0.5,109,4,2.7,0.1,1.3,,1725.8,161.4,,4967.4,463,,4400.4,280.6,,13.9,0.1,47.8,3,939.3,4.7
Qassim - University,26.34668,43.76645,12/1/2013 12:00:00 AM,14.3,0.5,76,4,2.5,0,1,,1436.5,141.3,,5217.3,451.1,,4039.2,265.1,,12.3,0.1,41.5,3,942.8,4.7
Qassim - University,26.34668,43.76645,1/1/2014 12:00:00 AM,13.8,0.5,85,4,2.5,0,1.2,,1553.6,135.4,,4702.1,496.3,,3990,301.9,,14.1,0.1,57.1,3,941.9,4.7
Qassim - University,26.34668,43.76645,2/1/2014 12:00:00 AM,15.4,0.5,,,,,,,1542.6,153.3,,6815.3,557.3,,5538,396.1,,,,36,3,939.9,4.6
Qassim - University,26.34668,43.76645,3/1/2014 12:00:00 AM,21.9,0.5,,,,,,,2563.6,217.2,,5153.7,445.5,,6072.9,421.1,,,,33.8,3,937.2,4.7
Qassim - University,26.34668,43.76645,4/1/2014 12:00:00 AM,28.2,0.5,84,3.7,2.9,0.1,1.4,,3142.4,97.5,610.4,3696.6,203.3,2377.7,5950.7,206.4,1469.8,20.2,0.1,22.1,3,936.8,4.6
Qassim - University,26.34668,43.76645,5/1/2014 12:00:00 AM,31.9,0.5,16,3.7,2.7,0,1.2,,,,,,,,7033.1,340.1,1343.2,15.5,0.1,15.5,3,934.5,4.7
Qassim - University,26.34668,43.76645,6/1/2014 12:00:00 AM,34.8,0.5,357,4.1,2.8,0,1.2,,2764,105.5,675.1,7025.3,241.5,1599.7,8116.4,252,512.3,22.9,0.1,9.8,3.1,931.8,4.9
Qassim - University,26.34668,43.76645,7/1/2014 12:00:00 AM,35.9,0.5,341,4,2.7,0,1,,2052.5,73,627.7,8366.8,252.6,1145.5,8248.5,234.7,247.1,11.7,0.1,10.1,3,929.9,4.7
Qassim - University,26.34668,43.76645,8/1/2014 12:00:00 AM,37.1,0.5,4,4,2.5,0,1,,2212.3,81.2,685.8,7294.1,248.9,1781.3,7595.3,212.1,511.3,19.7,0.1,10.7,3,930.4,4.7
Qassim - University,26.34668,43.76645,9/1/2014 12:00:00 AM,34.4,0.5,52,4,2.5,0,1.1,,2232,88.4,580.8,6452.6,209.1,1276.8,6750.2,180.1,309.2,11.7,0.1,12,3,933.3,4.7
Qassim - University,26.34668,43.76645,10/1/2014 12:00:00 AM,29.5,0.5,157,4,2.7,0.1,1.3,,2096.2,66.8,412.5,5643.7,168.5,976.5,5678.8,156.1,371.6,13.3,0.1,19.1,3,937.5,4.7
Qassim - University,26.34668,43.76645,11/1/2014 12:00:00 AM,19.6,0.5,85,3.7,2.3,0,0.9,,1465.7,55.4,434,5646.3,200.2,2293.5,4512.9,134.3,972.8,10.9,0.1,34.8,3,941,4.7
Qassim - University,26.34668,43.76645,12/1/2014 12:00:00 AM,17.3,0.5,103,3.7,2.2,0,1,,1341.7,43.5,313.1,5378.8,193.3,1607.1,4021.1,113.8,706.9,9.6,0.1,46.7,3,943.1,4.7
Qassim - University,26.34668,43.76645,1/1/2015 12:00:00 AM,14.5,0.5,73,4,2.3,0,1,,1364.2,62.8,608.7,6318.8,217.6,2166.4,4609.1,136.9,510,10.4,0.1,32.1,3,942.4,4.7
Qassim - University,26.34668,43.76645,2/1/2015 12:00:00 AM,18.5,0.5,27,4,2.6,0,1.3,,2028.3,75.5,733.2,5508.1,227.6,2058,5324,153.2,560.5,13.1,0.1,25.5,3,938.6,4.7
Qassim - University,26.34668,43.76645,3/1/2015 12:00:00 AM,22.3,0.5,72,4.1,2.9,0.1,1.2,,2912.3,103,739.1,3908.9,186.6,2041.6,5607,169.6,890.2,12.8,0.1,32.6,3.1,938.4,4.9
Qassim - University,26.34668,43.76645,4/1/2015 12:00:00 AM,26.3,0.5,64,4,3,0.1,1.4,,3931.6,115.7,769.5,3174.7,172.8,1849.9,6374.8,187.2,966.5,16.8,0.1,17.3,3,937.2,4.7
Qassim - University,26.34668,43.76645,5/1/2015 12:00:00 AM,33.1,0.5,50,3.7,2.8,0.1,1.3,,3633.5,106.9,582.7,4338.8,167.7,1894.9,7062.5,191.1,982,18.4,0.1,14.3,3,934.2,4.6
Qassim - University,26.34668,43.76645,6/1/2015 12:00:00 AM,35.4,0.5,19,4,2.5,0,1.1,,3168.5,107.2,826.8,6320.4,221.3,1746.1,8034.9,213.6,420.7,12.8,0.1,9.6,3,931.7,4.7
Qassim - University,26.34668,43.76645,7/1/2015 12:00:00 AM,37,0.5,352,3.8,2.5,0,1,,2610,84,595.1,7229,214.7,1239.5,8097.2,206.5,339.8,12.3,0.1,8.6,3,929.9,4.6
Qassim - University,26.34668,43.76645,8/1/2015 12:00:00 AM,37.7,0.5,15,4,2.7,0,1.1,,2676.1,88.5,811.6,6326.6,226.4,1906.1,7407,199,531.5,20.8,0.1,9.5,3,931.5,4.7
Qassim - University,26.34668,43.76645,9/1/2015 12:00:00 AM,34.8,0.5,79,4,2.2,0,1,,2656.5,85.8,527.2,5520.8,181.6,1102.4,6628.7,182.2,320.1,11.7,0.1,11.8,3,934.6,4.7
Qassim - University,26.34668,43.76645,10/1/2015 12:00:00 AM,30,0.5,126,4,2.4,0,1.1,,2567.8,80.3,478.5,3744.6,168.4,1925.7,5031.8,153.4,1015.3,13.3,0.1,24.7,3,937.8,4.7
Qassim - University,26.34668,43.76645,11/1/2015 12:00:00 AM,20.4,0.5,84,4,2.8,0,1.1,,1903.2,67,626.7,4076.8,175.8,2080.9,4184.6,128.3,961.3,16.3,0.1,52.5,3,940.5,4.7
Qassim - University,26.34668,43.76645,12/1/2015 12:00:00 AM,13.5,0.5,63,3.7,2.4,0,1.2,,,,,,,,3422,135.1,1167.9,11.5,0.1,55.2,3,943.6,4.7
Qassim - University,26.34668,43.76645,1/1/2016 12:00:00 AM,14.2,0.5,72,4,2.4,0,1,,1742,59.7,555.9,4778,210.7,2280.3,4250.7,126.3,666,12,0.1,45.4,3,942.6,4.7
Qassim - University,26.34668,43.76645,2/1/2016 12:00:00 AM,17.3,0.5,73,4,2.5,0.1,1.4,,1592.7,74.4,821.4,6781.9,232.1,2483.9,5510.9,153.1,635.8,16.8,0.1,32.2,3,942.3,4.7
Qassim - University,26.34668,43.76645,3/1/2016 12:00:00 AM,22.4,0.5,65,4,2.9,0.1,1.2,,2793.9,98.6,843.4,4160.2,237.2,2838.6,5637.6,172.9,1199.3,13.3,0.1,29.9,3,938,4.7
