Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Rania Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Rania - TVTC,21.21501,42.84853,12/1/2014 12:00:00 AM,19.5,0.5,134,3.7,3,0.1,1.5,,1243.5,45.6,390.9,6857,235.7,1274.5,4937.1,146.7,233.2,12.8,0.1,34.3,3,914.7,4.5
Rania - TVTC,21.21501,42.84853,1/1/2015 12:00:00 AM,17.9,0.5,124,3.7,2.6,0.1,1.6,,1374.5,72.3,770.8,6948.5,252.1,2786.7,5248.5,164.3,760.5,14.9,0.1,23.3,3,914.3,4.5
Rania - TVTC,21.21501,42.84853,2/1/2015 12:00:00 AM,22.8,0.5,127,3.7,3.1,0.1,1.9,,2004.8,90.3,776.4,6197.7,219.8,1793.2,5915.5,164.3,337.6,18.4,0.1,23.6,3,911,4.5
Rania - TVTC,21.21501,42.84853,3/1/2015 12:00:00 AM,26.1,0.5,145,4,3.4,0.1,2,,2739.6,90.6,730.4,4541.8,177.3,1973.3,6044.7,179.5,856.1,21.6,0.1,31.9,3,910.5,4.6
Rania - TVTC,21.21501,42.84853,4/1/2015 12:00:00 AM,29.8,0.5,136,4,3.8,0.1,2,,3979.3,124.2,745.1,3043,154,2162.5,6403,199.8,1132.8,21.3,0.1,14.2,3,909.7,4.6
Rania - TVTC,21.21501,42.84853,5/1/2015 12:00:00 AM,33.3,0.5,102,3.7,3.3,0.1,2.1,,3188.5,101.6,718.9,5035.5,183.3,1582,7143.4,232.4,709.6,25,0.1,18.7,3,908.1,4.5
Rania - TVTC,21.21501,42.84853,6/1/2015 12:00:00 AM,34.7,0.5,313,4,4.1,0.1,2.6,,3263.2,122.9,1147.7,5724.9,226.2,2532.8,7675.2,218.4,693.7,17.3,0.1,7.8,3,905.8,4.5
Rania - TVTC,21.21501,42.84853,7/1/2015 12:00:00 AM,36.3,0.5,321,4,5,0.1,2.4,,3235.5,100.9,708.9,5242.8,186.4,1666.5,7380.7,206.9,559.3,19.5,0.1,8.5,3,904.5,4.5
Rania - TVTC,21.21501,42.84853,8/1/2015 12:00:00 AM,36.2,0.5,32,4,3.1,0.1,2,,3159.5,96.9,671,4708.7,188.9,1748.4,6821.6,192.3,663,22.1,0.1,11.7,3,904.9,4.5
Rania - TVTC,21.21501,42.84853,9/1/2015 12:00:00 AM,33.4,0.5,107,4,2.6,0.1,1.7,,2444.9,86.2,552.9,6144.6,191.6,1230.7,6944,195.3,308.9,14.1,0.1,11.8,3,908.1,4.5
