Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Royal Commission of Jubail and Yanbu Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Yanbu - RCJY,23.9865,38.2046,12/1/2014 12:00:00 AM,25.9,0.5,320,4,2.8,0.1,1.6,,1453.1,53.1,387.5,5310.6,226.9,1349.6,4226.4,145.8,322.6,12.3,0.1,52.6,3,1013.9,5.1
Yanbu - RCJY,23.9865,38.2046,1/1/2015 12:00:00 AM,22,0.5,320,4,3.1,0.1,2,,1392.8,58.7,523.9,6263,215.5,1907.2,4752.5,132.3,481.9,15.2,0.1,44.2,3,1016,5.1
Yanbu - RCJY,23.9865,38.2046,2/1/2015 12:00:00 AM,23.9,0.5,297,4,3.1,0.1,2.1,,2026.8,66.8,499.6,5333.2,189,1489.4,5331.5,154.9,499.4,16.5,0.1,55,3,1012.2,5.1
Yanbu - RCJY,23.9865,38.2046,3/1/2015 12:00:00 AM,26.2,0.5,290,4,3.4,0.1,2.3,,2275.6,73.9,572.4,5812.2,222.1,1688.2,6315.7,179.6,567.9,17.1,0.1,54.9,3,1010.2,5.1
Yanbu - RCJY,23.9865,38.2046,4/1/2015 12:00:00 AM,26.4,0.5,292,4,4.3,0.1,2.8,,3027.5,115.3,960.3,5393.7,225.1,2218.6,7010.7,212,695.3,18.6,0.1,50.5,3,1009.8,5.1
Yanbu - RCJY,23.9865,38.2046,5/1/2015 12:00:00 AM,29.8,0.5,279,4,3.4,0.1,2.2,,3072.9,102.7,710.4,5282.3,212.9,2025.6,7149.3,254,865.2,16.5,0.1,58.8,3,1006.6,5
Yanbu - RCJY,23.9865,38.2046,6/1/2015 12:00:00 AM,30.6,0.5,287,4,4.3,0.1,2.5,,2743.9,119.7,1127.8,6727.3,282,2495.9,7824.3,297.8,550.4,17.9,0.1,54.5,3,1004.6,5
Yanbu - RCJY,23.9865,38.2046,7/1/2015 12:00:00 AM,31.6,0.5,282,4,4,0.1,2.3,,2070.9,131.3,788.4,7887,323.2,1722.9,7952.7,373.2,340.8,15.7,0.1,59.7,3,1003.4,5
Yanbu - RCJY,23.9865,38.2046,8/1/2015 12:00:00 AM,34.8,0.5,281,4,3.9,0.1,2.2,,3047.8,95.4,649.7,4783.8,185.7,1784.1,6767.9,188.1,673.8,16.5,0.1,53.9,3,1002.4,5
Yanbu - RCJY,23.9865,38.2046,9/1/2015 12:00:00 AM,32.8,0.5,283,4,3.7,0.1,2.2,,2692.4,79.2,321.1,4939.9,149,903.6,6318.1,172.3,467.2,16,0.1,55.7,3,1005.1,5
Yanbu - RCJY,23.9865,38.2046,10/1/2015 12:00:00 AM,30.8,0.5,278,4,3,0.1,1.8,,2032.4,61.9,442.8,5444.5,174.5,1247,5590.8,148.4,485.1,13.9,0.1,60.7,3,1009.2,5.1
Yanbu - RCJY,23.9865,38.2046,11/1/2015 12:00:00 AM,27.1,0.5,309,4,3.2,0.1,1.9,,1551.7,58.3,518.5,5713.6,208.7,1844.9,4762,135,570.5,13.9,0.1,51.5,3,1011.1,5.1
Yanbu - RCJY,23.9865,38.2046,12/1/2015 12:00:00 AM,22.4,0.5,332,4,3.6,0.1,2,,1513.8,61.3,564.8,5315.3,189.4,2008.3,4234.1,113.8,491.6,15.2,0.1,42.2,3,1015.9,5.1
Yanbu - RCJY,23.9865,38.2046,1/1/2016 12:00:00 AM,21.6,0.5,315,4,3.5,0.1,2.1,,1648.8,58.4,574.5,5479.6,196.4,1955.4,4603.1,125.8,471.3,16.8,0.1,42.9,3,1015.7,5.1
