Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Al Khafji) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Khafji - SWCC,28.48,48.48,12/1/2014 12:00:00 AM,16.4,0.5,33,3.7,3,0.1,1.3,,1175.4,45,378.3,5353.5,209.5,1748.2,3727.8,122.4,457.1,12,0.1,61.8,3,1020,5.1
Al Khafji - SWCC,28.48,48.48,1/1/2015 12:00:00 AM,14,0.5,37,4,3.5,0.1,2,,1501.7,68.7,532.8,4795.4,225.9,2032.3,3917.2,154.7,538.4,17.3,0.1,56.2,3,1019.4,5.1
Al Khafji - SWCC,28.48,48.48,2/1/2015 12:00:00 AM,16.6,0.5,79,4,4.1,0.1,2.3,,2018.4,134.6,757.9,4225.4,286.4,2649.4,4443.5,246.1,918.7,19.7,0.1,54.3,3,1014.7,5.1
Al Khafji - SWCC,28.48,48.48,3/1/2015 12:00:00 AM,19.7,0.5,149,4,3.4,0.1,1.8,,2457.3,87.1,895.8,4438.2,225.5,2728.8,5391.1,175.9,1078.7,13.9,0.1,60.9,3,1014.5,5.1
Al Khafji - SWCC,28.48,48.48,4/1/2015 12:00:00 AM,25,0.5,68,3.7,3.8,0.1,2.5,,,,,,,,,,,16.8,0.1,33.7,3,1011.3,5
Al Khafji - SWCC,28.48,48.48,5/1/2015 12:00:00 AM,30.7,0.5,109,4,2.2,0.1,2.3,,3389.9,100.2,666.8,4153.8,163.8,2223.4,6630.6,203.3,1449,16.5,0.1,35.6,3,1006.6,5.1
Al Khafji - SWCC,28.48,48.48,6/1/2015 12:00:00 AM,34.3,0.5,5,4,2.2,0.1,2.2,,2940.1,101.6,681.3,6498.6,224,1353.9,7877.8,221.4,311,17.9,0.1,25.3,3,1001.1,5
Al Khafji - SWCC,28.48,48.48,7/1/2015 12:00:00 AM,35.8,0.5,345,4,2.4,0.1,2.2,,2993.7,95.8,584.5,5608.1,187.1,1310.5,7332.3,201.3,479.6,16.5,0.1,30.9,3,997.7,5
Al Khafji - SWCC,28.48,48.48,8/1/2015 12:00:00 AM,35.5,0.5,34,4,1.9,0.1,1.9,,2429.9,72.7,309.2,6189,180.8,756.3,7062,197.6,256.2,11.5,0.1,42.6,3,1000.4,5
Al Khafji - SWCC,28.48,48.48,9/1/2015 12:00:00 AM,33.2,0.5,57,4,1.9,0.1,1.9,,2527.8,87.5,540.4,5059.7,192.6,1114.9,6090.9,188.5,305,13.6,0.1,40.6,3,1006,5
Al Khafji - SWCC,28.48,48.48,10/1/2015 12:00:00 AM,29.4,0.5,82,4,2.5,0.1,2.4,,2109.6,66.6,484.7,4068.8,171.4,1687.6,4705.8,138.6,1046,31.7,0.1,52.4,3,1011.4,5.1
Al Khafji - SWCC,28.48,48.48,11/1/2015 12:00:00 AM,20.5,0.5,318,3.7,2.1,0.1,1.9,,1470.5,58.9,470.1,4126.9,211.6,2353.3,3649.4,167.4,934.4,13.9,0.1,58.9,3,1016.8,5.1
Al Khafji - SWCC,28.48,48.48,12/1/2015 12:00:00 AM,13.8,0.5,278,3.7,2.4,0.1,2.3,,1189.3,65.7,465.2,4123.7,201.4,2673.3,3139.4,125.9,1106.9,12.5,0.1,61.8,3,1021.3,5
Al Khafji - SWCC,28.48,48.48,1/1/2016 12:00:00 AM,13.4,0.5,328,4,2.8,0.1,2.5,,1388.8,57.7,534.7,4738.3,202.6,2427.8,3794.7,123,777.9,15.7,0.1,58.9,3,1020.3,5.1
Al Khafji - SWCC,28.48,48.48,2/1/2016 12:00:00 AM,16,0.5,351,4,3.7,0.1,1.8,,1417.4,62.4,590.8,6247.9,213.1,2016.8,4999.2,149.8,662.8,15.2,0.1,54.4,3,1019,5.1
Al Khafji - SWCC,28.48,48.48,3/1/2016 12:00:00 AM,20.4,0.5,70,4,3.8,0.1,2.1,,2421,86.9,731.2,4050.8,205,2596.8,5130.7,174.9,1533.2,17.3,0.1,52.4,3,1013.9,5.1
Al Khafji - SWCC,28.48,48.48,4/1/2016 12:00:00 AM,24.5,0.5,138,4,3.5,0.1,1.7,,2340.2,99.2,753.5,5914.3,329.5,2846.7,6579.8,236.5,1459.7,15.2,0.1,43.5,3,1010.8,5.1
Al Khafji - SWCC,28.48,48.48,5/1/2016 12:00:00 AM,30.5,0.5,5,4,3.5,0.1,1.8,,2862.8,103.4,841.9,5953.7,222,2317.2,7395.3,209.2,958.2,16.3,0.1,36,3,1006.1,5
Al Khafji - SWCC,28.48,48.48,6/1/2016 12:00:00 AM,34.4,0.5,344,4,3.2,0.1,1.3,,2945.6,108.7,717.7,6259.5,226.2,1519.5,7745.7,220.7,380.7,13.3,0.1,23.8,3,1002.2,5
Al Khafji - SWCC,28.48,48.48,7/1/2016 12:00:00 AM,36.1,0.5,338,4,3.4,0.1,1.5,,2707.4,98.5,744.8,6344,226.3,1522.3,7535.4,228.9,385.9,14.9,0.1,28.7,3,997.7,5
