Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Farasan) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Farasan - SWCC,16.692097,42.098767,9/1/2014 12:00:00 AM,32.7,0.5,263,3.7,3.5,0.1,2,,2761.6,203.8,447.3,4434.5,341.9,1085.5,6240.4,382,417.2,14.9,0.1,68,3,1004.3,5
Farasan - SWCC,16.692097,42.098767,10/1/2014 12:00:00 AM,31.3,0.5,218,4,3.1,0.1,1.6,,1926.7,142.6,349.6,5783,396.2,897.6,5960,366.8,263,22.6,0.1,66.1,3,1008.3,5
Farasan - SWCC,16.692097,42.098767,11/1/2014 12:00:00 AM,29.5,0.5,172,4,3.4,0.1,1.7,,2007.1,140.9,298.2,4549.4,357.4,1306.7,4852.5,326.7,709.7,11.2,0.1,68.9,3,1010.1,5.1
Farasan - SWCC,16.692097,42.098767,12/1/2014 12:00:00 AM,27.2,0.5,153,4,3.6,0.1,1.8,,2000.7,140.1,323.8,4328.7,326.5,1071.1,4582.4,284.7,500.1,11.5,0.1,74.2,3,1012.6,5.1
Farasan - SWCC,16.692097,42.098767,1/1/2015 12:00:00 AM,25.8,0.5,186,4,4,0.1,2,,2337.2,163,440.5,3147.3,289.7,1517.8,4251,298.3,1101.6,12.5,0.1,75.1,3,1013.5,5.1
Farasan - SWCC,16.692097,42.098767,2/1/2015 12:00:00 AM,26.1,0.5,164,4,3.5,0.1,1.8,,2446.4,217.2,604.1,4556.6,391.2,1399.2,5503,342.2,552.7,13.1,0.1,76,3,1010.8,5.1
Farasan - SWCC,16.692097,42.098767,3/1/2015 12:00:00 AM,27.7,0.5,151,4,3.7,0.1,1.9,,2690.1,192.3,523.7,4759.6,394.9,1247.2,6199.7,388.9,461.2,11.7,0.1,74.7,3,1009.2,5.1
Farasan - SWCC,16.692097,42.098767,4/1/2015 12:00:00 AM,30,0.5,235,4,3.4,0.1,1.7,,3586.6,259.7,731.2,3454.9,349.3,1792.8,6360.9,406.6,751.5,11.2,0.1,67.7,3,1008.2,5.1
Farasan - SWCC,16.692097,42.098767,5/1/2015 12:00:00 AM,32.9,0.5,205,3.7,3.2,0.1,1.8,,2831.3,228.8,605.2,4992.4,465.8,1167.5,6793.2,457.1,375,10.9,0.1,64.4,3,1005.7,5
Farasan - SWCC,16.692097,42.098767,6/1/2015 12:00:00 AM,33.5,0.5,272,3.7,3.8,0.1,2.2,,3501.5,309.7,808.2,3368.2,514.1,1428.3,6430.7,463,586.6,13.3,0.1,66,3,1003,5
Farasan - SWCC,16.692097,42.098767,7/1/2015 12:00:00 AM,34.1,0.5,282,4,4.6,0.1,2.9,,3475.6,247.1,521.4,3498,300.3,1028.3,6443.1,395.9,355.1,17.9,0.1,61.3,3,1001.7,5
Farasan - SWCC,16.692097,42.098767,8/1/2015 12:00:00 AM,34.6,0.5,259,4,3.7,0.1,2.1,,3519.3,237.8,413.5,2899.4,238.3,923.8,5940.6,373,476.4,18.4,0.1,65.8,3,1002.3,5
Farasan - SWCC,16.692097,42.098767,9/1/2015 12:00:00 AM,34,0.5,236,4,3,0.1,1.9,,2652.1,192.2,463.4,4542.8,353.7,1110.9,6177.7,379.6,452.6,17.6,0.1,70,3,1004.8,5
Farasan - SWCC,16.692097,42.098767,10/1/2015 12:00:00 AM,32.8,0.5,192,4,3.1,0.1,1.8,,2096.6,148.3,284.4,5274.6,350.6,765.3,5810.6,356.9,336,15.2,0.1,67.9,3,1008.2,5
Farasan - SWCC,16.692097,42.098767,11/1/2015 12:00:00 AM,30.2,0.5,171,4,3.2,0.1,1.9,,2142.3,148.3,319.1,4196.6,344,1180.8,4788.4,309,724.1,14.1,0.1,73.5,3,1009.4,5.1
Farasan - SWCC,16.692097,42.098767,12/1/2015 12:00:00 AM,27.9,0.5,185,4,3.3,0.1,1.9,,2084.9,143.3,350.5,3489.2,330.9,1462.5,4152.5,289.3,804.5,12.3,0.1,75.1,3,1012.8,5.1
Farasan - SWCC,16.692097,42.098767,1/1/2016 12:00:00 AM,26.9,0.5,192,4,3.8,0.1,2.2,,2471.1,169.1,307.5,2820.2,256.6,1172.8,4190.3,280.8,573.5,12.5,0.1,76.1,3,1012.6,5.1
Farasan - SWCC,16.692097,42.098767,2/1/2016 12:00:00 AM,27.1,0.5,158,4,3.8,0.1,2,,2624.9,176.3,351.2,3897.6,314.8,1215.6,5270.4,345.6,586.8,16,0.1,77.3,3,1012,5.1
Farasan - SWCC,16.692097,42.098767,3/1/2016 12:00:00 AM,28.7,0.5,171,4,3.8,0.1,2,,2815.7,204.6,561.2,4490.7,345.6,1215.1,6143,378.5,436.1,13.9,0.1,78.4,3,1008.1,5.1
Farasan - SWCC,16.692097,42.098767,4/1/2016 12:00:00 AM,31,0.5,155,4,3.9,0.1,1.9,,2610.8,210.2,625.6,4994.1,418.5,1557.2,6501.1,412.9,571.2,13.9,0.1,71.6,3,1006.3,5
Farasan - SWCC,16.692097,42.098767,5/1/2016 12:00:00 AM,32.6,0.5,246,4,3.4,0.1,1.7,,3388.4,245.1,571.4,3851.7,330.6,1231.6,6512.5,402,466.5,12.5,0.1,70.1,3,1005.3,5
Farasan - SWCC,16.692097,42.098767,6/1/2016 12:00:00 AM,34.4,0.5,273,4,3.6,0.1,2.7,,3699.8,264.7,593.2,3229.1,291.8,1344.8,6381.7,406.5,472.4,17.6,0.1,64,3,1002.4,5
