Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Hagl) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Hagl - SWCC,29.28997,34.93002,8/1/2013 12:00:00 AM,31.3,0.5,15,4,6.4,0.1,2.7,,1313.3,95.4,,8962.1,572.6,,7622.2,468.5,,16.8,0.1,47,3,978.8,5
Hagl - SWCC,29.28997,34.93002,9/1/2013 12:00:00 AM,29.5,0.5,15,4,7.4,0.1,2.9,,1367.6,117.4,,7869.5,564.5,,6581.1,413.7,,18.4,0.1,51.7,3,1006.5,5
Hagl - SWCC,29.28997,34.93002,10/1/2013 12:00:00 AM,25.9,0.5,20,4,7.7,0.1,3.6,,1171.1,143.2,,7317.4,860.4,,5432.8,588.8,,21.1,0.2,47.3,3,1009.9,5.1
Hagl - SWCC,29.28997,34.93002,11/1/2013 12:00:00 AM,24.2,0.5,24,4,5.4,0.1,3.3,,1386.1,225,,5350.9,628.4,,4173.9,525.4,,18.4,0.1,48.9,3,1010.7,5
Hagl - SWCC,29.28997,34.93002,12/1/2013 12:00:00 AM,18.3,0.5,22,4,6,0.1,3.2,,1217.3,100.6,,4725.5,465,,3403.9,238.8,,21.3,0.1,44,3,1015.9,5.1
Hagl - SWCC,29.28997,34.93002,1/1/2014 12:00:00 AM,18.4,0.5,29,4,5.8,0.1,3.1,,1201,102.5,,5624,456.6,,3926.3,262.2,,18.4,0.1,50.3,3,1014.6,5.1
Hagl - SWCC,29.28997,34.93002,2/1/2014 12:00:00 AM,19.3,0.5,25,4,6.6,0.1,3.3,,1206.2,119.7,,7051.1,521.7,,5091.4,336.9,,20.5,0.1,45.5,3,1013.5,5.1
Hagl - SWCC,29.28997,34.93002,3/1/2014 12:00:00 AM,22,0.5,19,4,6,0.1,3.6,,2047.4,201.2,,5264.2,540.4,,5518.5,424.4,,19.7,0.2,48.3,3,1010.1,5.1
Hagl - SWCC,29.28997,34.93002,4/1/2014 12:00:00 AM,25.3,0.5,19,4,6,0.1,3.6,,2159.8,233.8,,6599.9,550.2,,6827.6,458.2,,19.5,0.1,42.2,3,1008.8,5.1
Hagl - SWCC,29.28997,34.93002,5/1/2014 12:00:00 AM,27.6,0.5,18,4,5.9,0.1,3.2,,2203.2,221.9,989,7189.7,611.5,2864.7,7453.4,483.8,1169.1,19.5,0.1,43.6,3,1007.9,5.1
Hagl - SWCC,29.28997,34.93002,6/1/2014 12:00:00 AM,29.3,0.5,17,4,6.8,0.1,2.8,,1853.1,328.3,1011.9,8637.5,708.6,2133.2,8151.6,627.1,428.6,16.8,0.1,45.3,3,1005.7,5
