Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Jubail) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Jubail - SWCC,26.9042,49.76274,9/1/2013 12:00:00 AM,32,0.5,343,4,3.6,0.1,1.8,,1957.1,197.5,,6337.6,812.2,,6368,673.8,,15.5,0.1,55.1,3,1004.5,5
Al Jubail - SWCC,26.9042,49.76274,10/1/2013 12:00:00 AM,27,0.5,346,4,3.9,0.1,2,,1482.2,218.9,,6499.8,897.3,,5492.4,703.4,,17.1,0.1,54.6,3,1011.6,5.1
Al Jubail - SWCC,26.9042,49.76274,11/1/2013 12:00:00 AM,22.8,0.5,10,4,3.5,0.1,1.8,,1443.1,129.1,,4461.8,426.9,,3845,335.5,,17.9,0.1,73.2,3,1015.7,5
Al Jubail - SWCC,26.9042,49.76274,12/1/2013 12:00:00 AM,17.4,0.5,308,4,3.9,0.1,1.8,,1299.2,120.3,,4664.1,416.2,,3590.7,257.5,,16.3,0.1,63.2,3,1019.9,5.1
Al Jubail - SWCC,26.9042,49.76274,1/1/2014 12:00:00 AM,15.7,0.5,305,4,3.3,0.1,1.5,,1575.3,158.8,,3801.8,455.8,,3568.5,332,,13.3,0.1,76.2,3,1019.9,5.1
Al Jubail - SWCC,26.9042,49.76274,2/1/2014 12:00:00 AM,16.7,0.5,348,4,3.9,0.1,1.7,,1739.5,168.5,,5008.8,466.5,,4651.8,322.6,,13.3,0.1,67.3,3,1017,5.1
Al Jubail - SWCC,26.9042,49.76274,3/1/2014 12:00:00 AM,21.8,0.5,34,4,4.1,0.1,1.9,,2280.2,188.8,,4708.5,480.5,,5426.9,393.9,,17.6,0.1,61.8,3,1013.5,5.1
Al Jubail - SWCC,26.9042,49.76274,4/1/2014 12:00:00 AM,26.1,0.5,15,4,3.8,0.1,1.8,,2912,214.9,,4789.7,534.8,,6499.7,435.1,,17.6,0.1,54.3,3,1011.4,5
Al Jubail - SWCC,26.9042,49.76274,5/1/2014 12:00:00 AM,31,0.5,20,3.7,3.7,0.1,1.7,,2984.6,248.2,942.3,5479.4,480.4,2205.9,7199.5,452.8,740.8,14.7,0.1,49.5,3,1006.6,5
Al Jubail - SWCC,26.9042,49.76274,6/1/2014 12:00:00 AM,33.6,0.5,331,4,3.8,0.1,1.8,,2513.3,224.6,688.2,6907.7,515.8,1359.2,7832.7,478.2,288.1,15.7,0.1,40.9,3,1001.5,5
Al Jubail - SWCC,26.9042,49.76274,7/1/2014 12:00:00 AM,35.3,0.5,331,4,3.7,0.1,1.6,,2477.6,199.7,694.2,6580.8,470.2,1427.1,7536.4,451.3,351.5,12,0.1,41.9,3,998.5,5
Al Jubail - SWCC,26.9042,49.76274,8/1/2014 12:00:00 AM,34.4,0.5,17,4,3.7,0.1,1.8,,2408,176.6,559.8,6027.9,468,1369.3,6926.2,454.8,470.4,13.6,0.1,61.4,3,1000.3,5
Al Jubail - SWCC,26.9042,49.76274,9/1/2014 12:00:00 AM,32.8,0.5,345,4,3.3,0.1,1.6,,1798.8,129.8,280.3,6625,429.1,589.2,6406.9,387.7,236.6,12,0.1,58.8,3,1005.2,5
Al Jubail - SWCC,26.9042,49.76274,10/1/2014 12:00:00 AM,29.5,0.5,0,0,3.8,0.1,1.7,,1736.5,137.4,383,5630.6,465.8,1117.4,5267,401.1,406,13.6,0.1,64.4,3,1012.3,5.1
Al Jubail - SWCC,26.9042,49.76274,11/1/2014 12:00:00 AM,22.7,0.5,327,4,3.7,0.1,1.7,,1503.9,123.8,395.5,4449.1,413.1,2127.5,3925.4,281.8,878.8,16,0.1,62.4,3,1017.4,5.1
Al Jubail - SWCC,26.9042,49.76274,12/1/2014 12:00:00 AM,18.5,0.5,301,4,3.2,0.1,1.4,,1219.2,107.3,362.5,5486.4,406.9,1441.6,3913,243.4,341.8,14.1,0.1,72.4,3,1020.3,5.1
Al Jubail - SWCC,26.9042,49.76274,1/1/2015 12:00:00 AM,16.2,0.5,267,3.7,3.6,0.1,1.6,,1428.7,134.9,536.3,5053.7,573.6,2191.9,4034.1,362.5,724.7,15.2,0.1,66.5,3,1020,5.1
Al Jubail - SWCC,26.9042,49.76274,2/1/2015 12:00:00 AM,18.6,0.5,359,4,4.5,0.1,2.1,,2053.5,202.2,868,4523.6,483.7,2756,4727,344.3,891.5,18.7,0.1,68.1,3,1015.2,5.1
Al Jubail - SWCC,26.9042,49.76274,3/1/2015 12:00:00 AM,21.1,0.5,48,4,4.2,0.1,2.1,,2243.7,203.5,840,4335.6,484.6,2722.8,5175.7,372.3,1577.3,18.4,0.1,71.6,3,1014.6,5.1
Al Jubail - SWCC,26.9042,49.76274,4/1/2015 12:00:00 AM,25.8,0.5,342,4,4.6,0.1,2.4,,3647.7,278.6,1020.5,3688.4,482.6,2324.6,6469.9,436.1,841.6,20,0.1,49.4,3,1011.4,5.1
Al Jubail - SWCC,26.9042,49.76274,5/1/2015 12:00:00 AM,31.1,0.5,15,4,3.9,0.1,1.9,,3393.8,254.3,808.9,4341.5,404.4,2200.4,6819.3,448,1270.3,20.8,0.1,47.5,3,1006.5,5.1
Al Jubail - SWCC,26.9042,49.76274,6/1/2015 12:00:00 AM,33.8,0.5,331,4,3.9,0.1,1.9,,2746.4,213,620.7,6570.2,494.7,1219.6,7853.7,472.2,230.5,16,0.1,47.2,3,1001,5
Al Jubail - SWCC,26.9042,49.76274,7/1/2015 12:00:00 AM,35.4,0.5,353,4,3.7,0.1,1.8,,2991.7,215.6,517.5,5448,408.3,1132.7,7300.6,440.8,371.1,13.1,0.1,52.3,3,998,5
Al Jubail - SWCC,26.9042,49.76274,8/1/2015 12:00:00 AM,35.1,0.5,28,4,2.7,0.1,2.2,,2324.5,148.5,306.9,6124.9,407.4,767.4,6932.3,411.6,267.8,12.3,0.1,66.2,3,1000.9,5
Al Jubail - SWCC,26.9042,49.76274,9/1/2015 12:00:00 AM,33.3,0.5,36,4,3.5,0.1,1.8,,2361.1,188.8,543.8,5249.9,392.1,1170.9,6111.2,372.8,300.8,15.2,0.1,63.5,3,1006.3,5
Al Jubail - SWCC,26.9042,49.76274,10/1/2015 12:00:00 AM,30.5,0.5,47,4,3.7,0.1,1.9,,2095.1,156.3,450.3,4533.8,363.3,1330,5009.8,324.8,562,22.9,0.1,66.9,3,1011.8,5.1
Al Jubail - SWCC,26.9042,49.76274,11/1/2015 12:00:00 AM,23.7,0.5,336,4,3.8,0.1,1.5,,1600.7,137.5,577.5,3804.2,442.7,2453.4,3655.2,270.5,1018.2,15.2,0.1,68.5,3,1016.7,5.1
Al Jubail - SWCC,26.9042,49.76274,12/1/2015 12:00:00 AM,17.2,0.5,302,4,3.5,0.1,1.6,,1449.3,114.2,422.5,3694,358.7,2196.7,3303.6,236.4,964.8,13.9,0.1,72.9,3,1021.3,5.1
Al Jubail - SWCC,26.9042,49.76274,1/1/2016 12:00:00 AM,16.2,0.5,326,4,4.1,0.1,1.9,,1494,124.7,462.3,4748.5,441.1,2238.9,3946.3,278.2,747.1,15.7,0.1,70.9,3,1020,5.1
Al Jubail - SWCC,26.9042,49.76274,2/1/2016 12:00:00 AM,17.6,0.5,342,4,4,0.1,2,,1469.2,158.4,690.9,6426.3,503.7,2048.8,5158.3,324.2,524.7,15.5,0.1,67.6,3,1019.1,5.1
Al Jubail - SWCC,26.9042,49.76274,3/1/2016 12:00:00 AM,21.8,0.5,20,4,4.1,0.1,2.1,,2574.8,206.6,733.6,3943.6,432.3,2451.6,5232.4,387.4,1292.6,17.9,0.1,66.3,3,1014.2,5.1
Al Jubail - SWCC,26.9042,49.76274,4/1/2016 12:00:00 AM,25.1,0.5,58,4,3.7,0.1,1.8,,2446.5,225.2,780.9,5632,516.8,2658.9,6536.5,438.5,1272.7,17.9,0.1,59.1,3,1011.4,5.1
Al Jubail - SWCC,26.9042,49.76274,5/1/2016 12:00:00 AM,30.9,0.5,353,4,3.8,0.1,1.9,,2957,237.9,795.5,5690.1,503,2033.1,7343.5,465.2,875.9,16,0.1,51.8,3,1006.5,5
Al Jubail - SWCC,26.9042,49.76274,6/1/2016 12:00:00 AM,34.2,0.5,333,4,3.5,0.1,1.7,,2741.3,249.1,711.6,6569.2,511.2,1340,7835.6,477.4,259.3,13.1,0.1,42.5,3,1002.6,5
Al Jubail - SWCC,26.9042,49.76274,7/1/2016 12:00:00 AM,35.6,0.5,350,4,3.8,0.1,1.8,,2650.6,196.6,505.8,6106.1,479.4,1195.3,7405.3,467,374.8,16.3,0.1,55.2,3,998.4,5
