Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Umluj) Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Umluj - SWCC,25.00411,37.27382,9/1/2013 12:00:00 AM,30.9,0.5,322,4,3.6,0.1,1.6,,1983.6,209.2,,6511.8,838.7,,6578.9,671.9,,12.8,0.1,64,3,1006,5
Umluj - SWCC,25.00411,37.27382,10/1/2013 12:00:00 AM,28.3,0.5,323,4,3.1,0.1,1.5,,1424.4,162.1,,6700.5,897.6,,5616.3,717.1,,9.9,0.1,61.3,3,1009.4,5.1
Umluj - SWCC,25.00411,37.27382,11/1/2013 12:00:00 AM,26.6,0.5,337,4.1,2.7,0,1.5,,1145,186.7,,6439.8,699.4,,4626,499.3,,13.6,0.1,54.4,3,1011.1,5
Umluj - SWCC,25.00411,37.27382,12/1/2013 12:00:00 AM,23.2,0.5,352,4,3.4,0.1,1.7,,1148.1,152.7,,5884.3,609.3,,4103.1,368.9,,18.9,0.1,46.7,3,1015.3,5.1
Umluj - SWCC,25.00411,37.27382,1/1/2014 12:00:00 AM,22.5,0.5,343,4,3.1,0.1,1.7,,1215.3,137.2,,6137,525.7,,4433,305.6,,16.3,0.1,50.7,3,1014.4,5.1
Umluj - SWCC,25.00411,37.27382,2/1/2014 12:00:00 AM,23.2,0.5,333,4,3.6,0.1,1.8,,1366.8,128.5,,6968.9,524.7,,5496.7,347.3,,13.6,0.1,50.9,3,1012.7,5.1
Umluj - SWCC,25.00411,37.27382,3/1/2014 12:00:00 AM,24.8,0.5,317,4,3.1,0.1,1.8,,2207.7,191.7,,5666.9,507.6,,6127.1,456.9,,20,0.1,54.9,3,1010.8,5.1
Umluj - SWCC,25.00411,37.27382,4/1/2014 12:00:00 AM,27.8,0.5,309,4,3,0.1,1.7,,2538.7,227.5,,5531.9,511.4,,6636.1,455.5,,17.9,0.1,58.3,3,1009.2,5.1
Umluj - SWCC,25.00411,37.27382,5/1/2014 12:00:00 AM,29.4,0.5,316,4,3.3,0.1,1.7,,2584.7,232,1004.2,6076.2,609.8,2730.4,7165.3,530.2,1033.6,14.7,0.1,56.7,3,1007.8,5.1
Umluj - SWCC,25.00411,37.27382,6/1/2014 12:00:00 AM,31.1,0.5,317,4,3.5,0.1,1.6,,2233.1,261.7,796.8,7430.8,579,1728.4,7803.3,503.2,345.5,13.1,0.1,57.8,3,1005.3,5
Umluj - SWCC,25.00411,37.27382,7/1/2014 12:00:00 AM,31.8,0.5,301,4,3,0.1,1.4,,1702.8,157.5,517.1,8153,592,1143,7716.6,520.6,247.4,10.4,0.1,64.8,3,1004.7,5
