Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Shaqra University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Shaqra - University,25.17279,45.14198,8/1/2013 12:00:00 AM,35.8,0.5,26,4,1.9,0,1,,2544.8,237.2,,6517.8,571.2,,7462.5,613.5,,12,0,10.9,3,917,4.6
Shaqra - University,25.17279,45.14198,9/1/2013 12:00:00 AM,32.9,0.5,62,4,1.8,0,0.8,,2237,217.3,,6463.1,803.3,,6799.1,704.3,,10.9,0,12.9,3,921,4.6
Shaqra - University,25.17279,45.14198,10/1/2013 12:00:00 AM,26.5,0.5,80,4,1.9,0,0.9,,1861.9,299.1,,6477.8,932.5,,5960,758.5,,9.6,0.1,17.4,3,925.3,4.6
Shaqra - University,25.17279,45.14198,11/1/2013 12:00:00 AM,20.5,0.5,65,4.3,1.9,0,1,,1676.8,317.7,,5340.5,787.8,,4566.6,602,,14.4,0.1,49.4,3,927,4.6
Shaqra - University,25.17279,45.14198,12/1/2013 12:00:00 AM,14.9,0.5,67,4,1.9,0,0.9,,1569.3,154.6,,5120.7,523.7,,4151.3,331.8,,9.9,0.1,42.8,3,930.1,4.7
Shaqra - University,25.17279,45.14198,1/1/2014 12:00:00 AM,13.9,0.5,338,4,1.7,0,1,,1502,137.8,,5138,510.3,,4186.6,300,,17.9,0,57.5,3,929.3,4.7
Shaqra - University,25.17279,45.14198,2/1/2014 12:00:00 AM,16.2,0.5,63,4,1.9,0,1,,1679.2,175.6,,6637.7,542.5,,5598.3,371.4,,12,0.1,35,3,926.9,4.7
Shaqra - University,25.17279,45.14198,3/1/2014 12:00:00 AM,22.2,0.5,61,4,2.4,0,1.3,,2675.3,244.5,,4989.1,450.7,,6113.4,450.7,,13.9,0.1,30,3,924.5,4.6
Shaqra - University,25.17279,45.14198,4/1/2014 12:00:00 AM,28,0.5,77,4,2.3,0,1.2,,3616.7,279.5,,3549,412.6,,6353,475.6,,14.9,0.1,21.1,3,924.2,4.6
Shaqra - University,25.17279,45.14198,5/1/2014 12:00:00 AM,31.8,0.5,57,4,2.1,0,1.3,,3477.9,268.5,705.1,4853.3,444,1869.6,7288.3,517.8,752.2,17.3,0.1,15.4,3,921.7,4.6
Shaqra - University,25.17279,45.14198,6/1/2014 12:00:00 AM,34.3,0.5,359,4,2.2,0,1.3,,2883.2,277.4,835.3,6791.4,501.3,1679.6,8090.9,526.6,378.2,14.4,0.1,10,3,919.1,4.6
Shaqra - University,25.17279,45.14198,7/1/2014 12:00:00 AM,35.6,0.5,336,4,2.3,0.1,1.5,,2427.5,236.7,864.1,7619.1,523.2,1539.6,8162,567.9,259.2,13.1,0.1,10.1,3,917.1,4.6
Shaqra - University,25.17279,45.14198,8/1/2014 12:00:00 AM,36.3,0.5,25,4,1.9,0,1.1,,2195,177.3,608.4,7304.8,539.4,1581.3,7600.9,472.6,472.3,20.5,0.1,11.4,3,917.6,4.6
Shaqra - University,25.17279,45.14198,9/1/2014 12:00:00 AM,33.8,0.5,66,4,1.8,0,0.9,,2319.5,206.2,760.2,6198.3,486.3,1875.1,6674.9,413.9,439.1,11.2,0,12.7,3,920.6,4.6
Shaqra - University,25.17279,45.14198,10/1/2014 12:00:00 AM,28.8,0.5,99,4,2,0,1,,1824.4,137.6,347,6535.3,454,904.1,5936,385.3,390.8,12.3,0.1,20.7,3,925.4,4.6
Shaqra - University,25.17279,45.14198,11/1/2014 12:00:00 AM,19.7,0.5,75,4,1.7,0,1,,1648.4,162.3,628.8,5095.9,481.8,2756.7,4445.3,327.1,1180.7,12.5,0.1,40.9,3,928.5,4.7
Shaqra - University,25.17279,45.14198,12/1/2014 12:00:00 AM,17,0.5,86,4,1.7,0,0.8,,1366.6,140.4,523.7,5769.6,454.4,2113.5,4260.6,281.9,535.7,8.3,0,47.6,3,930.7,4.7
Shaqra - University,25.17279,45.14198,1/1/2015 12:00:00 AM,14.8,0.5,62,4,1.9,0,0.9,,1393.5,139.2,718.8,6521.4,555.2,2584.3,4764.6,317.1,629.3,10.9,0.1,33.5,3,929.8,4.7
Shaqra - University,25.17279,45.14198,2/1/2015 12:00:00 AM,19.1,0.5,60,4,2.1,0,1.1,,2131,208.6,847,5539.4,568.4,2397.3,5463.8,383.8,726.9,11.7,0.1,28.9,3,926.1,4.7
