Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Sharurah Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Sharurah - TVTC,17.47586,47.08618,9/1/2013 12:00:00 AM,33.5,0.5,51,4,3.6,0.1,1.7,,2346.5,255.9,,6200.6,631.4,,6960.7,656.5,,18.4,0.1,17.8,3,925.3,4.6
Sharurah - TVTC,17.47586,47.08618,10/1/2013 12:00:00 AM,28.2,0.5,52,4,3.3,0.1,1.5,,1787.3,274.9,,7183.1,788.3,,6583.3,721.4,,12.5,0.1,18.1,3,929.9,4.7
Sharurah - TVTC,17.47586,47.08618,11/1/2013 12:00:00 AM,24.7,0.5,68,4,3.8,0.1,1.5,,1280.6,147.1,,7492.9,520.7,,5736.6,362.3,,12.3,0.1,32.7,3,931.3,4.6
Sharurah - TVTC,17.47586,47.08618,12/1/2013 12:00:00 AM,19.4,0.5,60,4,3.4,0.1,1.5,,1054.9,92.8,,7995.3,542.1,,5487.1,346.2,,12.3,0.1,32.6,3,934.6,4.7
Sharurah - TVTC,17.47586,47.08618,1/1/2014 12:00:00 AM,20.1,0.5,61,4,3.9,0.1,1.6,,1454.2,177.2,,6974.8,733.2,,5531.2,476.4,,14.7,0.1,36.9,3,933.5,4.7
Sharurah - TVTC,17.47586,47.08618,2/1/2014 12:00:00 AM,21.6,0.5,56,4,4,0.1,1.7,,2005.7,239.4,,6156.8,699.1,,6009.8,617.4,,14.9,0.1,29.4,3,931.2,4.7
Sharurah - TVTC,17.47586,47.08618,3/1/2014 12:00:00 AM,26.8,0.5,67,4,4.3,0.1,1.9,,2644.4,511,,5992,967.6,,6925.9,851.6,,18.4,0.1,23.3,3,929.3,4.7
Sharurah - TVTC,17.47586,47.08618,4/1/2014 12:00:00 AM,30.6,0.5,85,4,3.9,0.1,1.7,,2324.2,269.6,,7228.1,574.5,,7682.5,491.1,,22.9,0.1,18.1,3,929,4.7
Sharurah - TVTC,17.47586,47.08618,5/1/2014 12:00:00 AM,33.7,0.5,77,4,3.8,0.1,1.7,,2717.1,244.5,918.8,6373.7,498,2035.5,7579.3,464.1,559.3,19.5,0.1,16.6,3,926.5,4.6
Sharurah - TVTC,17.47586,47.08618,6/1/2014 12:00:00 AM,35.3,0.5,40,4,3.6,0.1,1.7,,3308.5,289.5,840.7,5683.8,447.4,1560.9,7736,466.6,327.3,16.3,0.1,9.8,3,923.9,4.6
Sharurah - TVTC,17.47586,47.08618,7/1/2014 12:00:00 AM,36.6,0.5,349,4,3.5,0.1,1.9,,3837.8,308.3,852.9,4295.7,402.7,1778.3,7269,458.8,539.7,18.7,0.1,11.3,3,922.3,4.6
Sharurah - TVTC,17.47586,47.08618,8/1/2014 12:00:00 AM,36.1,0.5,48,4,3.8,0.1,2.1,,2903.9,221.4,582.4,5603.8,391.1,1044.7,7282.9,444.2,305.8,19.2,0.1,15.6,3,922.1,4.6
Sharurah - TVTC,17.47586,47.08618,9/1/2014 12:00:00 AM,33.5,0.5,55,4,3.5,0.1,1.7,,2263.2,204.8,666.8,6382.9,472.7,1691.4,6965.3,434.4,519,21.1,0.1,17.3,3,925.3,4.6
Sharurah - TVTC,17.47586,47.08618,10/1/2014 12:00:00 AM,29.3,0.5,55,4,3.4,0.1,1.5,,1375.9,134.7,389.5,7941.2,605.7,995.5,6614.2,518.9,213.6,13.9,0.1,20.4,3,930.5,4.7
Sharurah - TVTC,17.47586,47.08618,11/1/2014 12:00:00 AM,24.8,0.5,59,4,3.5,0.1,1.5,,1199.2,115.3,388.1,7835.7,510.4,1039.4,5855.8,363.9,317.6,12.5,0.1,26.6,3,932.9,4.7
Sharurah - TVTC,17.47586,47.08618,12/1/2014 12:00:00 AM,19.6,0.5,50,4,3.2,0.1,1.5,,1011.7,81.9,243.9,8182,545.8,868.8,5547.9,333.2,152.7,12.3,0.1,34.5,3,936,4.7
Sharurah - TVTC,17.47586,47.08618,1/1/2015 12:00:00 AM,18.3,0.5,54,4,3,0.1,1.5,,1432.8,184.7,930.5,7365.1,587.7,2921.7,5652.6,375,801.4,17.1,0.1,26.7,3,935.5,4.7
Sharurah - TVTC,17.47586,47.08618,2/1/2015 12:00:00 AM,24,0.5,98,4,3.9,0.1,1.7,,1805.1,262.3,1233.3,7598.9,573.8,2702.8,6536.3,399.4,348.8,15.5,0.1,18.1,3,931.2,4.7
Sharurah - TVTC,17.47586,47.08618,3/1/2015 12:00:00 AM,27.7,0.5,97,4,3.9,0.1,1.9,,2671.5,257.2,1012,5835,469.9,2328,6835.4,427,671.1,22.4,0.1,24.7,3,930.5,4.7
Sharurah - TVTC,17.47586,47.08618,4/1/2015 12:00:00 AM,31,0.5,67,4,3.9,0.1,1.8,,3339.6,305.4,1278.5,4806.9,515.8,2968,7000.5,461.5,1574.1,16.8,0.1,15.3,3,929.2,4.7
Sharurah - TVTC,17.47586,47.08618,5/1/2015 12:00:00 AM,34.1,0.5,82,4,4,0.1,1.8,,2872.1,252.1,959.1,5968.2,475.1,1972.1,7460.3,457.4,645.5,19.2,0.1,20.1,3,927,4.6
Sharurah - TVTC,17.47586,47.08618,6/1/2015 12:00:00 AM,35.6,0.5,16,4,3.3,0.1,1.9,,3778.2,293.9,913.5,4622.3,412.1,1729.3,7451.4,453.1,398.3,17.6,0.1,10.3,3,923.6,4.6
Sharurah - TVTC,17.47586,47.08618,7/1/2015 12:00:00 AM,36.5,0.5,351,4,3.4,0.1,1.8,,3754.4,280.1,728.1,4647.8,351.4,1287.2,7450.4,444,341.8,16.8,0.1,10.9,3,921.7,4.6
Sharurah - TVTC,17.47586,47.08618,8/1/2015 12:00:00 AM,36.3,0.5,82,4,4.1,0.1,2,,2907.9,235,796.2,5447.1,451.6,1708.3,7122.6,439,497,22.1,0.1,18.7,3,922.8,4.6
Sharurah - TVTC,17.47586,47.08618,9/1/2015 12:00:00 AM,33.9,0.5,52,3.9,3.5,0.1,1.8,,2099.9,201.6,715.6,7143.1,531.5,1431.3,7300.8,437.4,201.1,15.7,0.1,14.4,3,926.6,4.6
Sharurah - TVTC,17.47586,47.08618,10/1/2015 12:00:00 AM,30,0.5,55,4,3.5,0.1,1.6,,1658.7,122.3,474.4,7385.9,493,1065.9,6603.3,408.2,348.3,14.9,0.1,20.5,3,930.7,4.7
Sharurah - TVTC,17.47586,47.08618,11/1/2015 12:00:00 AM,25.6,0.5,62,4,3.8,0.1,1.5,,1389.1,160,611.5,7224.1,515.5,1834.8,5677.5,358.7,530.5,15.2,0.1,35.1,3,932.1,4.7
