Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Tabuk University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Tabuk - University,28.38284,36.48397,10/1/2013 12:00:00 AM,23,0.5,313,4,2.5,0,1.2,,1059.7,113.8,,8163.6,730,,5841.3,506.8,,10.4,0.1,28.3,3,926.7,4.6
Tabuk - University,28.38284,36.48397,11/1/2013 12:00:00 AM,19.4,0.5,336,4,2.3,0,1.2,,1498.6,127.1,,5304.2,450.5,,4269.3,275.5,,11.2,0.1,43,3,927.2,4.6
Tabuk - University,28.38284,36.48397,12/1/2013 12:00:00 AM,12.4,0.5,307,4,2.2,0,1.5,,1212.6,123.5,,5450.9,478.5,,3754.8,264.4,,20,0.1,42.3,3,930.2,4.7
Tabuk - University,28.38284,36.48397,1/1/2014 12:00:00 AM,13.1,0.5,321,4,2,0,1.2,,1169.9,105.3,,5982.6,458.7,,4098.9,280.9,,16.3,0.1,47.4,3,929.4,4.7
Tabuk - University,28.38284,36.48397,2/1/2014 12:00:00 AM,14.6,0.5,341,4,2.4,0,1.4,,1214.4,126.2,,7537.7,546.1,,5381.5,357.5,,15.7,0.1,36.7,3,928.2,4.7
Tabuk - University,28.38284,36.48397,3/1/2014 12:00:00 AM,19.4,0.5,,,,,,,2068.7,174.5,,5911.4,520.6,,5972.5,412.8,,,,34.5,3,925.6,4.6
Tabuk - University,28.38284,36.48397,4/1/2014 12:00:00 AM,24.8,0.5,,,,,,,2537.8,244.3,,6654.4,541.3,,7227.9,464.2,,,,22.3,3,925.4,4.6
Tabuk - University,28.38284,36.48397,5/1/2014 12:00:00 AM,27.2,0.5,,,,,,,2245.9,217.5,1007.3,7889.3,602.4,2638.2,7958.4,499.8,917.4,,,22.7,3,925,4.6
Tabuk - University,28.38284,36.48397,6/1/2014 12:00:00 AM,30.4,0.5,,,,,,,2005.2,263.2,1004.6,8835.1,632.2,2017.8,8437,511.8,315.7,,,21.8,3,923.5,4.6
Tabuk - University,28.38284,36.48397,7/1/2014 12:00:00 AM,32,0.5,,,,,,,1469.6,109.7,326.9,9479.4,604.8,845.3,8297.1,503.2,264.5,,,22.3,3,922,4.6
Tabuk - University,28.38284,36.48397,8/1/2014 12:00:00 AM,32.4,0.5,,,,,,,1557,165.2,524.8,8765.5,565.4,1248.5,7722,478.7,349.8,,,23.4,3,921.6,4.6
Tabuk - University,28.38284,36.48397,9/1/2014 12:00:00 AM,28.9,0.5,,,,,,,1286.3,106.4,271.3,8502.8,532.4,630.3,6886.7,419.2,268.2,,,31.7,3,924.5,4.6
Tabuk - University,28.38284,36.48397,10/1/2014 12:00:00 AM,24.1,0.5,,,,,,,1385.5,145.5,708.4,6934.5,521.4,2380.8,5443.2,359,812.3,,,32.6,3,927.1,4.6
Tabuk - University,28.38284,36.48397,11/1/2014 12:00:00 AM,17.9,0.5,,,,,,,1113.2,106.7,361.7,6953.2,477,1101.2,4621.9,295.2,297.9,,,36.7,3,929.1,4.7
Tabuk - University,28.38284,36.48397,12/1/2014 12:00:00 AM,15.5,0.5,356,3.7,2.1,0,1.1,,1113.1,56.3,345.4,5829.1,237.7,1693.5,3866.8,137.9,551,14.7,0.1,48.6,3,930.3,4.6
Tabuk - University,28.38284,36.48397,1/1/2015 12:00:00 AM,13,0.6,297,4.4,2.6,0.1,1.9,,1366.1,79.8,604,5726.7,320,2428.2,4122.9,178.2,607.8,22.4,0.1,37,3.5,930,5.4
Tabuk - University,28.38284,36.48397,2/1/2015 12:00:00 AM,15,0.5,285,4,3.2,0.1,2.1,,1698,99.3,677.8,5806.3,238.1,2316.2,4984,186,784.3,17.9,0.1,33.8,3,926.7,4.6
Tabuk - University,28.38284,36.48397,3/1/2015 12:00:00 AM,19.2,0.5,330,4,2.9,0.1,1.6,,2010.6,90.6,757.7,6476,229.3,2124,6209.4,194.5,732.3,17.3,0.1,28.4,3,927.3,4.7
Tabuk - University,28.38284,36.48397,4/1/2015 12:00:00 AM,21.5,0.5,297,4,3,0.1,1.7,,2040.8,103.5,669.4,7860.1,398,1425,7635.8,416.3,352.5,15.5,0.1,20.6,3,926.6,4.7
Tabuk - University,28.38284,36.48397,5/1/2015 12:00:00 AM,27.5,0.5,262,4,3.3,0.1,1.8,,2282.4,106,938.2,7746.8,343.9,2358.1,7907.8,285.5,820.8,16.8,0.1,17,3,924.5,4.6
Tabuk - University,28.38284,36.48397,6/1/2015 12:00:00 AM,29.1,0.5,299,4,3,0.1,1.4,,1888,81.9,729.1,9052.3,269.1,1589.1,8489.5,226.4,272.1,14.1,0.1,21.9,3,923.4,4.6
