Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Taibah University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Madinah - Taibah University,24.4846,39.5418,3/1/2015 12:00:00 AM,27.4,0.5,247,4,3.2,0.1,1.7,,2336.3,88.6,689.5,5399.5,227.2,2173.2,6042,183.7,897.8,16.8,0.1,22.2,3,939.7,4.7
Madinah - Taibah University,24.4846,39.5418,4/1/2015 12:00:00 AM,29.1,0.5,268,4,3.5,0.1,2,,3072.8,131.1,988,4775.6,254.6,2417.1,6645.9,226.8,789.8,22.6,0.1,15.8,3,939.2,4.7
Madinah - Taibah University,24.4846,39.5418,5/1/2015 12:00:00 AM,34.4,0.5,274,4,3.4,0.1,1.9,,3131.6,112.2,658.1,4841.5,236.6,2023,6845.5,277.3,954.3,17.9,0.1,14.5,3,937,4.7
Madinah - Taibah University,24.4846,39.5418,6/1/2015 12:00:00 AM,36.1,0.5,280,4,3.8,0.1,1.9,,2735.3,147.5,1149.2,6427.5,363.7,2639,7639.1,281.8,694.3,16.3,0.1,10.3,3,935,4.7
Madinah - Taibah University,24.4846,39.5418,7/1/2015 12:00:00 AM,36.6,0.5,280,3.7,3.8,0.1,1.9,,2120.6,108.4,773.2,7677.2,352.6,1854.5,7910.9,300.3,471.2,19.2,0.1,10.7,2.9,933.8,4.6
Madinah - Taibah University,24.4846,39.5418,8/1/2015 12:00:00 AM,38.8,0.5,295,4,3.3,0.1,2,,2814.2,102.3,616.4,4741.4,233.7,1845.3,6508.5,233.6,722,27.7,0.1,12.5,3,934.3,4.7
Madinah - Taibah University,24.4846,39.5418,9/1/2015 12:00:00 AM,37,0.5,278,4,2.9,0.1,1.7,,2656.2,86.6,301.9,4380,185,961.6,5927.6,232.7,535.2,24.2,0.1,14.5,3,936.6,4.7
Madinah - Taibah University,24.4846,39.5418,10/1/2015 12:00:00 AM,32.1,0.5,242,4,2.7,0.1,1.5,,2032.3,62.8,375.4,5054.5,178.8,1250.8,5338.8,154.1,530.9,16.8,0.1,21.4,3,939.8,4.7
Madinah - Taibah University,24.4846,39.5418,11/1/2015 12:00:00 AM,25.1,0.5,134,4,2.7,0.1,1.4,,1568.4,54.9,447.7,5127.1,196.3,1949.1,4456.2,147.2,770.6,14.4,0.1,37.2,3,941.2,4.7
Madinah - Taibah University,24.4846,39.5418,12/1/2015 12:00:00 AM,18.4,0.5,120,4,2.9,0.1,1.4,,1386.9,48.8,436.2,5103.5,192.4,2071.8,4028.3,119.2,656.3,13.1,0.1,40.7,3,944.8,4.7
Madinah - Taibah University,24.4846,39.5418,1/1/2016 12:00:00 AM,19,0.5,259,4,2.9,0.1,1.5,,1529.4,55.8,516.2,5475.5,222.2,1915,4523.5,134.7,542.5,14.9,0.1,35.8,3,943.9,4.7
Madinah - Taibah University,24.4846,39.5418,2/1/2016 12:00:00 AM,21.5,0.5,126,4,2.8,0.1,1.5,,1459.1,61.9,484.7,6744.3,234.6,1716.3,5526.2,167.1,553,15.2,0.1,25.2,3,943.7,4.7
Madinah - Taibah University,24.4846,39.5418,3/1/2016 12:00:00 AM,26.8,0.5,243,4,3.1,0.1,1.7,,2558.2,94.5,781.9,4600.5,206.6,2516.9,5727.6,182,1184.8,18.9,0.1,22.2,3,939.5,4.7
Madinah - Taibah University,24.4846,39.5418,4/1/2016 12:00:00 AM,27.9,0.5,157,4,3,0.1,1.8,,2078,75.4,594.7,6274,265.2,2355.5,6767,222.8,1157.6,24.5,0.1,26.4,3,938.7,4.7
Madinah - Taibah University,24.4846,39.5418,5/1/2016 12:00:00 AM,34.2,0.5,264,4,3.2,0.1,1.9,,2199.3,81.5,566.5,7576.2,304.6,1376.2,7868.4,271.4,419.2,18.1,0.1,12.6,3,937.3,4.7
Madinah - Taibah University,24.4846,39.5418,6/1/2016 12:00:00 AM,37.4,0.5,277,4,3.4,0.1,1.8,,2573.9,109.6,541.5,6936.2,293.6,1276.2,7865.4,287.5,378.8,21.9,0.1,8.6,3,935,4.7
Madinah - Taibah University,24.4846,39.5418,7/1/2016 12:00:00 AM,36.7,0.5,268,4,3.9,0.1,1.8,,2031.6,89.2,638.3,7692.7,361.6,1750.6,7847.6,324.1,505.7,17.6,0.1,14,3,932.9,4.7
