Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Taif University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Taif - University,21.43278,40.49173,6/1/2013 12:00:00 AM,28.3,0.5,288,4,3.8,0.1,2,,2400,541.9,,7586.2,1013.3,,8139.8,986.6,,16.3,0.1,14.5,3,846.2,4.2
Taif - University,21.43278,40.49173,7/1/2013 12:00:00 AM,30.5,0.5,300,4,3.9,0.1,1.8,,2997.2,293.9,,5607.2,457.4,,7415.9,507.9,,18.7,0.1,19.4,3,844.5,4.2
Taif - University,21.43278,40.49173,8/1/2013 12:00:00 AM,28.7,0.5,293,4,3.8,0.1,1.8,,2588.4,202.9,,5712.7,438.3,,7006.1,462.6,,14.9,0.1,27.1,3,845.6,4.2
Taif - University,21.43278,40.49173,9/1/2013 12:00:00 AM,28.8,0.5,302,4,2.6,0.1,1.6,,2296.5,232.8,,5664.1,632.9,,6491.7,570.3,,15.2,0.1,23.6,3,847.6,4.2
Taif - University,21.43278,40.49173,10/1/2013 12:00:00 AM,24.6,0.5,264,4,2.3,0.1,1.6,,1812.6,183.9,,6229.2,494,,5915.1,405.7,,12,0.1,33.2,3,849.4,4.3
Taif - University,21.43278,40.49173,11/1/2013 12:00:00 AM,20.3,0.5,222,4,2.2,0.1,1.7,,1128.6,98.7,,7339.4,583.9,,5302.3,363.3,,15.7,0.1,46.4,3,849.2,4.3
Taif - University,21.43278,40.49173,12/1/2013 12:00:00 AM,16.8,0.5,206,4,2.1,0.1,1.6,,1180,122.7,,6535.6,538.5,,4652.1,368.2,,13.6,0.1,47.9,3,850.4,4.3
Taif - University,21.43278,40.49173,1/1/2014 12:00:00 AM,16.8,0.5,203,4,2.3,0.1,1.6,,1439.1,133.7,,6034,510,,4848.6,367.3,,13.9,0.1,59.4,3,849.6,4.3
Taif - University,21.43278,40.49173,2/1/2014 12:00:00 AM,17.5,0.5,219,4,2.6,0.1,1.8,,1502.4,127.5,,7034.7,541.1,,5822.3,390.2,,14.7,0.1,50.6,3,848.3,4.2
Taif - University,21.43278,40.49173,3/1/2014 12:00:00 AM,20.7,0.5,,,,,,,1854.1,185.7,,7147.7,665.6,,6733.8,494.1,,,,40,3,848.1,4.2
