Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Timaa Technical Institute Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Timaa - TVTC,27.61727,38.5252,8/1/2013 12:00:00 AM,32.7,0.5,319,4,2.4,0,1.1,,1607.8,183.6,,8545.2,637.4,,7723.5,599.7,,12.3,0.1,19.3,3,912.9,4.5
Timaa - TVTC,27.61727,38.5252,9/1/2013 12:00:00 AM,30.4,0.5,335,4,2,0,1.1,,1585.5,141.2,,7797.7,570.8,,6826,446.1,,13.1,0.1,20.3,3,916.3,4.6
Timaa - TVTC,27.61727,38.5252,10/1/2013 12:00:00 AM,24,0.5,41,4,2.1,0,1.3,,1325.1,137.8,,7369.7,521,,5728.7,363.5,,14.4,0.1,24,3,918.7,4.6
Timaa - TVTC,27.61727,38.5252,11/1/2013 12:00:00 AM,19.5,0.5,108,4,2,0,1.3,,1394.1,168,,5692.1,641.8,,4376.6,398.4,,12,0.1,45.5,3,919.6,4.6
Timaa - TVTC,27.61727,38.5252,12/1/2013 12:00:00 AM,13.3,0.5,126,4,2.4,0.1,1.7,,1307,134.1,,5541.8,500.1,,3928.3,276.2,,15.2,0.1,41.9,3,922.4,4.6
Timaa - TVTC,27.61727,38.5252,1/1/2014 12:00:00 AM,13.1,0.5,25,4,1.9,0,1.3,,1216,151.2,,5800.4,591.5,,4097.6,356.3,,17.3,0.1,52.7,3,921.5,4.6
Timaa - TVTC,27.61727,38.5252,2/1/2014 12:00:00 AM,14.6,0.5,61,4,2.3,0,1.4,,1193.3,157.6,,7845.1,578.8,,5517.7,395.7,,13.1,0.1,37.1,3,920.4,4.6
Timaa - TVTC,27.61727,38.5252,3/1/2014 12:00:00 AM,19.7,0.5,139,4,2.9,0.1,1.8,,2219.8,195.8,,5729.7,551.4,,5975,471.6,,17.9,0.1,35.1,3,917.9,4.6
Timaa - TVTC,27.61727,38.5252,4/1/2014 12:00:00 AM,25.7,0.5,226,4,2.9,0.1,1.7,,2631.4,221,,6093.5,532.8,,7055.1,468.3,,20.5,0.1,22.3,3,917.6,4.6
Timaa - TVTC,27.61727,38.5252,5/1/2014 12:00:00 AM,28.1,0.5,1,1,2.7,0.1,1.5,,2363.7,251.1,1033.9,7439.1,592.9,2891.2,7826.3,495.9,991.2,14.4,0.1,18,3,917,4.6
