Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Umm Al Qura University Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Makkah - UQU,21.331,39.949,3/1/2015 12:00:00 AM,29.4,0.5,82,3.7,2.3,0.1,1.5,,2712.6,515.3,462.9,4444.6,1099.3,1559.1,5881.9,1206.3,1012.6,13.9,0.1,40.8,3,976.4,4.9
Makkah - UQU,21.331,39.949,4/1/2015 12:00:00 AM,31.1,0.5,103,4,2.6,0.1,1.5,,,,,,,,,,,13.1,0.1,30,3,975.7,4.9
Makkah - UQU,21.331,39.949,5/1/2015 12:00:00 AM,35.4,0.5,98,4,2.5,0.1,1.5,,3289,100.8,687.9,4680.1,175.1,1714.1,7003.4,192,760.4,16.8,0.1,27,3,973.4,4.9
Makkah - UQU,21.331,39.949,6/1/2015 12:00:00 AM,36.5,0.5,144,4,2.9,0.1,1.4,,3159.5,112,1147.4,5507.6,252.5,2722.4,7391.9,215.8,765.8,13.1,0.1,17.2,3,971.4,4.9
Makkah - UQU,21.331,39.949,7/1/2015 12:00:00 AM,37,0.5,159,4,3.1,0.1,1.4,,3076.9,104.5,716.5,5560.8,190.8,1726.1,7384.3,208,565.8,13.3,0.1,14.6,3,970.6,4.9
Makkah - UQU,21.331,39.949,8/1/2015 12:00:00 AM,36.9,0.5,90,4,2.5,0,1.6,,3420.9,101.1,525.6,3486.7,132.5,1443.1,6226.1,180,744.5,26.1,0.1,33.7,3,970.3,4.9
Makkah - UQU,21.331,39.949,9/1/2015 12:00:00 AM,35.7,0.5,85,4,2.4,0,1.6,,2904.6,88.6,376.8,4433,148.7,881.2,6295.6,177.8,275.4,29,0.1,36.2,3,972.7,4.9
Makkah - UQU,21.331,39.949,10/1/2015 12:00:00 AM,32.8,0.5,65,4,2.2,0,1.5,,2257,63.8,318.3,4852.4,159.3,1232.9,5609.8,157.8,648.6,22.9,0.1,40.4,3,976.1,4.9
Makkah - UQU,21.331,39.949,11/1/2015 12:00:00 AM,28.8,0.5,99,4,2.1,0,1.3,,1744.5,56.7,360.9,5106,178.1,1319.2,4818.2,131.7,586.4,13.9,0.1,48.5,3,977.2,4.9
Makkah - UQU,21.331,39.949,12/1/2015 12:00:00 AM,24.6,0.5,150,4,2.5,0,1.4,,1878.5,62,519.5,3664.7,184.3,2308.6,3901.2,127.2,902.4,13.9,0.1,45.5,3,980.8,4.9
Makkah - UQU,21.331,39.949,1/1/2016 12:00:00 AM,23.6,0.5,132,4,2.3,0,1.3,,1910.7,62,499.7,4150.6,195.4,2345.2,4282.6,138.6,969.4,10.4,0.1,48.8,3,980.7,4.9
Makkah - UQU,21.331,39.949,2/1/2016 12:00:00 AM,26.1,0.5,99,4,2.3,0.1,1.5,,2013.7,66.4,528.7,5205.5,213.7,1943.2,5375.6,160.9,881.1,13.3,0.1,45.1,3,979.6,4.9
Makkah - UQU,21.331,39.949,3/1/2016 12:00:00 AM,29.9,0.5,84,4,2.3,0.1,1.6,,2547.6,79.3,560.7,5087.8,169.4,1614.1,6185.1,164.9,786.3,15.7,0.1,38.6,3,976,4.9
Makkah - UQU,21.331,39.949,4/1/2016 12:00:00 AM,30.9,0.5,97,4,2.5,0.1,1.7,,2404.4,82,630.7,5784.3,227.3,2076.2,6718,195.6,1119.3,21,0.1,36.7,3,974.9,4.9
Makkah - UQU,21.331,39.949,5/1/2016 12:00:00 AM,35.4,0.5,117,4,2.5,0,1.5,,2832.7,85.1,494.4,5862.9,179.3,1073.1,7421.1,197.4,452.1,23.2,0.1,25.3,3,973.6,4.9
Makkah - UQU,21.331,39.949,6/1/2016 12:00:00 AM,37.5,0.5,130,4,2.7,0.1,1.6,,3045.6,98.7,602.8,5693.4,189.8,1402,7510,202.4,428.7,15.7,0.1,18.5,3,971.1,4.9
Makkah - UQU,21.331,39.949,7/1/2016 12:00:00 AM,36.4,0.5,129,4,3,0.1,1.5,,3107.4,103,726.6,4885.6,210.1,2111.6,6936.1,215.2,938.1,13.3,0.1,23.6,3,970.1,4.9
