Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
University of Dammam Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Dammam - University of Dammam,26.394974,50.188715,6/1/2013 12:00:00 AM,34.8,0.5,326,4,4.2,0.1,2.2,,3147.2,312.2,,5907.4,499.9,,7785.8,579,,18.9,0.1,29.7,3,997,5
Dammam - University of Dammam,26.394974,50.188715,7/1/2013 12:00:00 AM,35.9,0.5,333,4,3.2,0.1,1.9,,2732.9,263.1,,5713.9,644.3,,7201.4,748.3,,15.2,0.1,38.6,3,994,5
Dammam - University of Dammam,26.394974,50.188715,8/1/2013 12:00:00 AM,34.7,0.5,358,4,2.4,0.1,1.4,,2216.8,340.9,,5810.4,801.4,,6583.6,784.9,,14.7,0.1,53.9,3,997.1,5
Dammam - University of Dammam,26.394974,50.188715,9/1/2013 12:00:00 AM,33.1,0.5,346,4,2.8,0.1,1.7,,2042.8,174.1,,6040.6,430.2,,6325.4,403.9,,14.1,0.1,55.5,3,1002.2,5
Dammam - University of Dammam,26.394974,50.188715,10/1/2013 12:00:00 AM,27.6,0.5,332,4,2.9,0.1,1.7,,1465.2,145.7,,6417.7,667.9,,5437.4,519.7,,16,0.1,56.3,3,1009,5.1
Dammam - University of Dammam,26.394974,50.188715,11/1/2013 12:00:00 AM,23.3,0.5,,,,,,,1495.7,140.9,,4519.9,415.5,,3960.1,287,,,,73.5,3,1013.2,5.1
Dammam - University of Dammam,26.394974,50.188715,12/1/2013 12:00:00 AM,18,0.5,307,4,3.3,0.1,1.6,,1363.1,209.9,,4751.2,799.1,,3749.9,493.2,,16.3,0.1,64.5,3,1017.3,5.1
Dammam - University of Dammam,26.394974,50.188715,1/1/2014 12:00:00 AM,16.1,0.5,299,4,2.8,0.1,1.4,,1656,143,,3633.4,376.2,,3589.3,281.7,,14.7,0.1,77.2,3,1017.3,5.1
Dammam - University of Dammam,26.394974,50.188715,2/1/2014 12:00:00 AM,17.2,0.5,334,4,3.3,0.1,1.6,,1770.5,161.4,,5228.1,456.3,,4881.3,334.5,,14.7,0.1,65.7,3,1014.2,5.1
Dammam - University of Dammam,26.394974,50.188715,3/1/2014 12:00:00 AM,22.5,0.5,335,4,0.3,0,1.1,,2296.7,203.1,,4727.1,500.3,,5465.9,1113.6,,11.5,0,58.6,3,1010.9,5.1
Dammam - University of Dammam,26.394974,50.188715,4/1/2014 12:00:00 AM,27.3,0.5,,,,,,,2925.6,214.9,,5038.9,555.2,,6663.5,445.2,,,,49.2,3,1008.9,5.1
Dammam - University of Dammam,26.394974,50.188715,5/1/2014 12:00:00 AM,32.4,0.5,,,,,,,2882.5,243,868.7,5786.4,508.9,2140.9,7311.1,466.7,745,,,43.8,3,1004.3,5
Dammam - University of Dammam,26.394974,50.188715,6/1/2014 12:00:00 AM,35.2,0.5,,,,,,,2107.3,157.1,428.1,7642.1,500.7,974.3,7934.3,476.7,278.2,,,32.5,3,997.8,5
Dammam - University of Dammam,26.394974,50.188715,7/1/2014 12:00:00 AM,36.6,0.5,,,,,,,2554,204.5,742.8,6480.7,459.2,1457.2,7543.4,465.3,340.3,,,35.4,3,996.1,5
Dammam - University of Dammam,26.394974,50.188715,8/1/2014 12:00:00 AM,35.6,0.5,,,,,,,2448.2,190.2,594.8,6006.8,463,1333,6978.2,441.6,403.8,,,54.2,3,997.5,5
Dammam - University of Dammam,26.394974,50.188715,9/1/2014 12:00:00 AM,33.9,0.5,,,,,,,1806.5,136.2,299.4,6664,436.8,592.3,6444.5,388.5,244.2,,,53.7,3,1002.3,5
Dammam - University of Dammam,26.394974,50.188715,10/1/2014 12:00:00 AM,30.3,0.5,,,,,,,1680.9,146.2,421.3,5848.6,596.3,1133.4,5344.2,522.7,379.8,,,62.5,3,1009.5,5
Dammam - University of Dammam,26.394974,50.188715,11/1/2014 12:00:00 AM,23.3,0.5,337,4,3,0.1,1.6,,1630.5,60,415.1,4598.6,183,1932.8,4168.7,137.7,776.8,13.9,0.1,54.5,3,1015.2,5.1
Dammam - University of Dammam,26.394974,50.188715,12/1/2014 12:00:00 AM,19.2,0.5,311,3.7,2.8,0.1,1.4,,1269.8,49.9,376,5486.9,173.6,1357.4,4024.2,121.1,273.7,12,0.1,60.9,3,1018.3,5.1
Dammam - University of Dammam,26.394974,50.188715,1/1/2015 12:00:00 AM,16.8,0.5,276,4,3,0.1,1.5,,1382.6,53.1,414.3,5428.7,188.4,2069.1,4224.9,125.2,768.2,16.5,0.1,57.1,3,1018,5.1
Dammam - University of Dammam,26.394974,50.188715,2/1/2015 12:00:00 AM,19,0.5,351,4,3.7,0.1,1.8,,2087.1,84.1,774.6,4710.8,211.3,2468.4,4900.6,156.9,765.3,17.6,0.1,57.4,3,1013.3,5.1
Dammam - University of Dammam,26.394974,50.188715,3/1/2015 12:00:00 AM,21.5,0.5,40,4,3.3,0.1,1.7,,2294.2,89.8,802.5,4147.4,214.8,2663.3,5133.8,189.5,1691.4,16,0.1,57.7,3,1012.9,5.1
