Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Wadi Addawasir College of Technology Station
Selected Range: Feb 2013 to Jul 2016
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Wadi Addawasir - TVTC,20.43008,44.89433,8/1/2013 12:00:00 AM,36,0.5,349,4,2.7,0.1,1.7,,3037.8,455,,5088.9,850,,7021.9,895.5,,16.5,0.1,17.3,3,929.1,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,9/1/2013 12:00:00 AM,33.2,0.5,111,4,2.2,0,1.4,,2656.6,224,,5735.7,443,,6906.6,420.4,,12.5,0.1,17.4,3,933.2,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,10/1/2013 12:00:00 AM,27.4,0.5,128,4,2.2,0.1,1.7,,1827,200.2,,6965.3,540.5,,6369.9,405.2,,12.5,0.1,20.6,3,937.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,11/1/2013 12:00:00 AM,23.6,0.5,121,4,2.6,0.1,1.6,,1371,154.7,,6850,577.3,,5346.2,347.8,,12,0.1,40.4,3,939.3,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,12/1/2013 12:00:00 AM,18,0.5,122,4,3,0.1,1.9,,1285.1,121.8,,6809,499.8,,4976.6,306.8,,12.8,0.1,37.3,3,942.6,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,1/1/2014 12:00:00 AM,17.9,0.5,113,4,3.2,0.1,1.8,,1551.9,144.1,,6240,505.4,,5123.5,329.4,,12,0.1,41.3,3,941.7,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,2/1/2014 12:00:00 AM,19.4,0.5,116,4,3.1,0.1,1.7,,1971.7,184.5,,6218.2,477.3,,5925.1,381.1,,12.3,0.1,32.6,3,939.4,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,3/1/2014 12:00:00 AM,25.3,0.5,132,3.8,3.3,0.1,1.9,,2675.3,134.6,829.5,5533.8,359,2064.4,6664,352,816.9,14.9,0.1,23.7,3.1,937.4,4.8
Wadi Addawasir - TVTC,20.43008,44.89433,4/1/2014 12:00:00 AM,29.7,0.5,126,3.7,3,0.1,1.8,,3087,165.5,1051.7,5491.8,301.7,2495.5,7257.7,338.4,821.1,14.1,0.1,16.5,3,936.9,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,5/1/2014 12:00:00 AM,33.1,0.5,122,4,2.8,0.1,1.7,,3225.3,110.4,1050.7,5658.8,244.9,2260.9,7589.2,227.6,597.3,14.7,0.1,14.5,3,934.6,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,6/1/2014 12:00:00 AM,34.9,0.5,63,4,2.2,0,1.4,,3393.8,119.1,790.9,5535.7,182.7,1654.9,7753,194.6,430.9,12,0.1,11,3,931.7,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,7/1/2014 12:00:00 AM,36.5,0.5,308,4,2.7,0.1,1.6,,3455.4,143.9,881.2,4965.7,270.9,2012.7,7354.7,342.7,696.3,16.3,0.1,10.5,3,930.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,8/1/2014 12:00:00 AM,36,0.5,18,3.7,2.3,0.1,1.4,,2644.6,85.3,493.6,6311.5,189.3,1097.6,7513.8,201.7,345.2,13.3,0.1,12.6,3,930.1,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,9/1/2014 12:00:00 AM,33,0.5,61,4,2.1,0,1.5,,2452.4,89.9,736.4,6034.9,215.2,1822.7,6890.6,209.3,535.4,13.1,0.1,15.3,3,933.4,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,10/1/2014 12:00:00 AM,27.7,0.5,115,4,2.2,0.1,1.7,,1467.2,147.9,391.7,7743.2,607.6,1133.8,6466.4,488.7,340.4,13.1,0.1,20.4,3,938.7,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,11/1/2014 12:00:00 AM,22.4,0.5,113,3.7,3,0.1,1.8,,1490.1,71.3,534.8,6235.8,242.4,1878.8,5261.3,251.8,727.2,12,0.1,33.8,3,941,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,12/1/2014 12:00:00 AM,17.7,0.5,121,3.9,2.5,0.1,1.8,,1201.1,55.6,417.2,7027.2,240.8,1402.1,5026.7,148.6,317.7,11.2,0.1,39.4,3.2,943.8,5
Wadi Addawasir - TVTC,20.43008,44.89433,1/1/2015 12:00:00 AM,16.2,0.5,115,4,2.3,0.1,1.7,,1478.2,77.9,907.6,6940.1,240.1,2925.1,5361.9,157.6,704.4,12,0.1,27.6,3,943.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,2/1/2015 12:00:00 AM,21.5,0.5,109,4,2.3,0.1,1.6,,2184.3,96.3,993.1,6062.9,216.2,2282.1,6017.2,167.1,373.2,12,0.1,22.9,3,939.3,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,3/1/2015 12:00:00 AM,25.4,0.5,116,4,3.1,0.1,1.8,,2880.7,97.5,764.6,4678.1,173.1,2159.5,6235.9,173.1,975.9,17.1,0.1,29.6,3,938.6,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,4/1/2015 12:00:00 AM,29.1,0.5,119,4,3.3,0.1,1.9,,3864.6,121.4,801.2,3470.9,161.3,2331.7,6583,191.1,1345,14.9,0.1,14.9,3,937.4,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,5/1/2015 12:00:00 AM,33.3,0.5,128,4,2.4,0.1,1.7,,3081.9,99.2,722.5,5605.7,180.9,1705.7,7476.1,200.8,647.7,18.9,0.1,21.2,3,934.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,6/1/2015 12:00:00 AM,35.1,0.5,294,3.7,2.6,0.1,1.8,,3512.2,119.5,892.9,5156,208.7,2138.3,7528.4,198.2,730.8,12.8,0.1,9.7,2.9,931.8,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,7/1/2015 12:00:00 AM,36.8,0.5,314,4,2.5,0.1,1.6,,3547.9,159.1,674.7,4690.3,300.8,1347.1,7300.1,386.1,446.2,13.9,0.1,9.7,3,929.8,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,8/1/2015 12:00:00 AM,35.9,0.5,59,4,1.8,0,1.4,,2815.4,93,654,5854.4,204,1512.7,7333.9,210.3,504.4,12,0.1,13,3,930.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,9/1/2015 12:00:00 AM,32.6,0.5,98,4,1.5,0,1.6,,2431.1,94,573.2,6249.7,197.2,1160.3,7010.1,181.5,253.5,14.7,0.1,15.3,3,934.8,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,10/1/2015 12:00:00 AM,28.7,0.5,117,4,2.1,0.1,1.7,,1908.1,62.6,459.7,6470,199.6,1300.9,6235.1,166.8,473.8,13.9,0.1,22.2,3,938.8,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,11/1/2015 12:00:00 AM,23.4,0.5,116,4,2.9,0.1,1.9,,1537,69.1,542.7,6414.1,192,1730.7,5326.5,144.4,505.1,12.8,0.1,36.1,3,940.5,4.7
